Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
SRR1552444	(1, 75.4086)	(2, 41.9364)	(3, 52.5792)	(4, 50.0806)	(5, 48.2131)	(6, 44.874199999999995)	(7, 43.8771)	(8, 51.2544)	(9, 49.4194)	(10, 43.592)	(11, 56.5479)	(12, 51.4203)	(13, 47.7252)	(14, 48.768899999999995)	(15, 49.7407)	(16, 50.4289)	(17, 50.2742)	(18, 50.010299999999994)	(19, 50.4502)	(20, 50.081399999999995)	(21, 50.005900000000004)	(22, 49.985800000000005)	(23, 49.5356)	(24, 49.4876)	(25, 50.08669999999999)	(26, 49.5717)	(27, 49.641600000000004)	(28, 50.1892)	(29, 49.829499999999996)	(30, 49.700100000000006)	(31, 49.953399999999995)	(32, 49.5771)	(33, 49.655)	(34, 50.19820000000001)	(35, 49.8892)	(36, 49.8417)	(37, 50.1915)	(38, 49.594300000000004)	(39, 49.5517)	(40, 50.0642)	(41, 49.4624)	(42, 49.5527)	(43, 50.096)	(44, 49.595299999999995)	(45, 49.703199999999995)	(46, 50.295100000000005)	(47, 49.5674)	(48, 49.7407)	(49, 50.049299999999995)	(50, 49.486000000000004)	(51, 49.7434)	(52, 50.23800000000001)	(53, 49.5413)	(54, 49.6733)	(55, 50.0448)	(56, 49.7106)	(57, 49.7)	(58, 50.137100000000004)	(59, 49.5532)	(60, 49.3487)	(61, 50.044599999999996)	(62, 49.391400000000004)	(63, 49.3953)	(64, 49.8756)	(65, 49.7234)	(66, 49.5452)	(67, 50.0201)	(68, 49.7526)	(69, 49.5118)	(70, 49.9713)	(71, 49.5724)	(72, 49.6118)	(73, 49.8176)	(74, 49.5515)	(75, 49.390499999999996)	(76, 50.0486)	(77, 49.385200000000005)	(78, 49.5688)	(79, 49.8048)	(80, 49.6151)	(81, 49.3616)	(82, 50.0578)	(83, 49.479800000000004)	(84, 49.1094)	(85, 49.916)	(86, 49.574400000000004)	(87, 49.4037)	(88, 49.9538)	(89, 49.519999999999996)	(90, 49.5255)	(91, 50.14809999999999)	(92, 49.6671)	(93, 49.4132)	(94, 49.8695)	(95, 49.605)	(96, 49.528800000000004)	(97, 49.9029)	(98, 49.6241)	(99, 49.5488)	(100, 49.8461)
SRR1552445	(1, 73.9229)	(2, 44.4223)	(3, 52.94029999999999)	(4, 50.6872)	(5, 48.8186)	(6, 45.567099999999996)	(7, 44.2328)	(8, 52.213699999999996)	(9, 50.1406)	(10, 43.9165)	(11, 57.1579)	(12, 51.817)	(13, 47.8409)	(14, 49.0431)	(15, 50.269)	(16, 50.705999999999996)	(17, 50.3823)	(18, 50.200900000000004)	(19, 50.781)	(20, 50.401700000000005)	(21, 50.246100000000006)	(22, 50.169200000000004)	(23, 50.002500000000005)	(24, 49.864999999999995)	(25, 50.5874)	(26, 49.963499999999996)	(27, 50.0285)	(28, 50.4819)	(29, 50.3698)	(30, 49.992999999999995)	(31, 50.3606)	(32, 49.9232)	(33, 49.9363)	(34, 50.4537)	(35, 50.350899999999996)	(36, 50.114000000000004)	(37, 50.558899999999994)	(38, 50.1077)	(39, 49.9623)	(40, 51.3474)	(41, 50.0861)	(42, 49.8277)	(43, 50.3753)	(44, 50.275499999999994)	(45, 49.9992)	(46, 50.718300000000006)	(47, 50.1349)	(48, 49.9528)	(49, 50.513600000000004)	(50, 50.2645)	(51, 49.9958)	(52, 50.29749999999999)	(53, 49.943599999999996)	(54, 49.9713)	(55, 50.3304)	(56, 50.1351)	(57, 50.112)	(58, 50.4003)	(59, 50.232600000000005)	(60, 49.7942)	(61, 50.309400000000004)	(62, 50.0109)	(63, 49.9713)	(64, 50.2493)	(65, 50.158899999999996)	(66, 49.8493)	(67, 50.3925)	(68, 50.2362)	(69, 49.8615)	(70, 50.361999999999995)	(71, 49.8488)	(72, 49.9222)	(73, 50.1873)	(74, 49.8999)	(75, 50.113)	(76, 50.2896)	(77, 50.1113)	(78, 49.8048)	(79, 50.19709999999999)	(80, 50.311499999999995)	(81, 49.7371)	(82, 50.368100000000005)	(83, 49.963800000000006)	(84, 49.8416)	(85, 50.2431)	(86, 49.8108)	(87, 49.8033)	(88, 50.411899999999996)	(89, 50.024)	(90, 49.7834)	(91, 50.5298)	(92, 50.0461)	(93, 49.874)	(94, 50.1204)	(95, 50.1042)	(96, 49.852000000000004)	(97, 50.2215)	(98, 50.12259999999999)	(99, 49.8269)	(100, 50.31830000000001)
SRR1552446	(1, 72.9286)	(2, 43.1526)	(3, 51.0115)	(4, 49.1614)	(5, 47.4902)	(6, 45.4615)	(7, 43.1329)	(8, 50.9721)	(9, 49.271100000000004)	(10, 42.6371)	(11, 56.3346)	(12, 50.89939999999999)	(13, 46.8793)	(14, 47.932399999999994)	(15, 48.9889)	(16, 49.5302)	(17, 49.642199999999995)	(18, 49.2599)	(19, 49.885400000000004)	(20, 49.3556)	(21, 48.8292)	(22, 49.176700000000004)	(23, 48.2424)	(24, 48.7603)	(25, 49.3393)	(26, 48.776599999999995)	(27, 49.0269)	(28, 49.2059)	(29, 49.3498)	(30, 49.1512)	(31, 48.7637)	(32, 48.8214)	(33, 48.994)	(34, 49.565799999999996)	(35, 49.306400000000004)	(36, 49.284)	(37, 49.5431)	(38, 48.9141)	(39, 48.9484)	(40, 50.41480000000001)	(41, 48.9573)	(42, 48.5851)	(43, 49.3407)	(44, 48.8255)	(45, 49.053000000000004)	(46, 49.336600000000004)	(47, 49.0918)	(48, 48.7851)	(49, 49.271100000000004)	(50, 49.1145)	(51, 48.9437)	(52, 48.8748)	(53, 48.9685)	(54, 48.7919)	(55, 49.4843)	(56, 49.05)	(57, 48.9328)	(58, 49.3502)	(59, 48.821799999999996)	(60, 48.9413)	(61, 48.9658)	(62, 48.4995)	(63, 48.5847)	(64, 49.060199999999995)	(65, 49.2527)	(66, 48.7749)	(67, 49.1505)	(68, 49.1006)	(69, 48.7073)	(70, 49.4589)	(71, 48.6836)	(72, 49.0564)	(73, 49.229)	(74, 48.8551)	(75, 48.6051)	(76, 49.1006)	(77, 48.944700000000005)	(78, 48.8985)	(79, 49.149100000000004)	(80, 49.1787)	(81, 48.7264)	(82, 48.8697)	(83, 48.687599999999996)	(84, 48.5817)	(85, 48.9831)	(86, 49.019800000000004)	(87, 48.7566)	(88, 49.209599999999995)	(89, 48.8187)	(90, 48.7094)	(91, 48.981)	(92, 48.7464)	(93, 48.6873)	(94, 48.9512)	(95, 48.475699999999996)	(96, 48.6432)	(97, 48.9664)	(98, 48.67)	(99, 48.857099999999996)	(100, 49.0109)
SRR1552447	(1, 73.651)	(2, 43.317299999999996)	(3, 51.239599999999996)	(4, 49.739)	(5, 47.808)	(6, 44.698)	(7, 42.9048)	(8, 50.97239999999999)	(9, 49.120799999999996)	(10, 42.652499999999996)	(11, 55.875)	(12, 50.8914)	(13, 46.9317)	(14, 47.6773)	(15, 48.9266)	(16, 49.5968)	(17, 49.1455)	(18, 49.0225)	(19, 49.7404)	(20, 49.2249)	(21, 48.7185)	(22, 48.966100000000004)	(23, 48.178599999999996)	(24, 48.531)	(25, 49.385)	(26, 48.716100000000004)	(27, 48.8279)	(28, 49.2404)	(29, 48.8073)	(30, 49.0235)	(31, 48.3786)	(32, 48.6124)	(33, 48.6597)	(34, 49.349900000000005)	(35, 49.0039)	(36, 49.1522)	(37, 49.537)	(38, 48.6931)	(39, 48.8097)	(40, 49.1303)	(41, 48.7043)	(42, 48.4904)	(43, 49.0272)	(44, 48.768499999999996)	(45, 48.8195)	(46, 49.1401)	(47, 48.9766)	(48, 48.7316)	(49, 48.936)	(50, 49.086999999999996)	(51, 48.8269)	(52, 48.9201)	(53, 48.6634)	(54, 48.5752)	(55, 49.514)	(56, 48.678900000000006)	(57, 48.7401)	(58, 49.100899999999996)	(59, 48.8215)	(60, 48.9043)	(61, 48.770799999999994)	(62, 48.3516)	(63, 48.547200000000004)	(64, 48.8651)	(65, 49.1961)	(66, 48.7539)	(67, 49.2593)	(68, 48.8465)	(69, 47.9972)	(70, 49.0242)	(71, 48.620799999999996)	(72, 48.606300000000005)	(73, 49.107299999999995)	(74, 48.504999999999995)	(75, 48.6158)	(76, 49.0299)	(77, 48.8046)	(78, 48.931000000000004)	(79, 49.0434)	(80, 48.896499999999996)	(81, 48.458)	(82, 48.762)	(83, 48.5495)	(84, 48.641400000000004)	(85, 48.6458)	(86, 48.722500000000004)	(87, 48.9269)	(88, 49.1171)	(89, 48.6637)	(90, 48.5097)	(91, 48.8151)	(92, 48.556)	(93, 48.5215)	(94, 48.748200000000004)	(95, 48.6283)	(96, 48.4675)	(97, 48.9114)	(98, 48.6985)	(99, 48.71)	(100, 49.1262)
SRR1552448	(1, 72.6952)	(2, 42.338300000000004)	(3, 49.8041)	(4, 48.0881)	(5, 46.733999999999995)	(6, 44.1932)	(7, 42.2128)	(8, 50.444500000000005)	(9, 49.315)	(10, 41.2907)	(11, 55.5404)	(12, 50.47279999999999)	(13, 46.184)	(14, 46.705000000000005)	(15, 48.2051)	(16, 48.8027)	(17, 48.4763)	(18, 48.450700000000005)	(19, 49.5707)	(20, 48.6011)	(21, 47.395700000000005)	(22, 48.6085)	(23, 47.0757)	(24, 48.0358)	(25, 48.766999999999996)	(26, 47.6321)	(27, 48.4031)	(28, 47.9809)	(29, 48.2803)	(30, 48.6813)	(31, 47.252100000000006)	(32, 47.9485)	(33, 48.277)	(34, 48.9218)	(35, 48.1782)	(36, 48.9903)	(37, 48.925200000000004)	(38, 47.639199999999995)	(39, 48.4055)	(40, 48.511700000000005)	(41, 47.9249)	(42, 47.7586)	(43, 48.4921)	(44, 47.8129)	(45, 48.3727)	(46, 48.0092)	(47, 48.6601)	(48, 48.0035)	(49, 47.8264)	(50, 48.766999999999996)	(51, 48.5313)	(52, 47.6301)	(53, 47.9141)	(54, 47.8321)	(55, 49.0557)	(56, 47.8065)	(57, 47.9856)	(58, 48.278999999999996)	(59, 48.1451)	(60, 48.620000000000005)	(61, 47.762)	(62, 47.194)	(63, 47.5657)	(64, 48.0122)	(65, 48.935)	(66, 48.339999999999996)	(67, 48.5178)	(68, 47.7654)	(69, 48.1771)	(70, 48.7323)	(71, 47.6588)	(72, 48.2648)	(73, 48.3144)	(74, 47.6325)	(75, 47.738)	(76, 48.1023)	(77, 48.1299)	(78, 48.1357)	(79, 49.303599999999996)	(80, 47.9839)	(81, 48.1087)	(82, 47.737)	(83, 47.8031)	(84, 47.780899999999995)	(85, 47.577799999999996)	(86, 48.0827)	(87, 48.066900000000004)	(88, 48.766)	(89, 47.8507)	(90, 47.8945)	(91, 47.82)	(92, 47.4042)	(93, 47.7353)	(94, 48.0965)	(95, 47.7245)	(96, 47.5488)	(97, 47.8648)	(98, 47.6163)	(99, 47.930299999999995)	(100, 48.332300000000004)
SRR1552449	(1, 73.1446)	(2, 41.1569)	(3, 49.5225)	(4, 47.5957)	(5, 46.381299999999996)	(6, 43.6445)	(7, 41.998999999999995)	(8, 50.4077)	(9, 48.958200000000005)	(10, 41.1023)	(11, 55.3282)	(12, 50.2047)	(13, 45.8778)	(14, 46.4872)	(15, 48.1384)	(16, 48.677)	(17, 48.0166)	(18, 48.2449)	(19, 49.3204)	(20, 48.3761)	(21, 47.185300000000005)	(22, 48.3923)	(23, 46.6706)	(24, 47.769800000000004)	(25, 48.478)	(26, 47.382600000000004)	(27, 48.323899999999995)	(28, 47.702299999999994)	(29, 47.9353)	(30, 48.5822)	(31, 47.0649)	(32, 47.767700000000005)	(33, 48.0102)	(34, 48.598)	(35, 47.9043)	(36, 48.7566)	(37, 48.383199999999995)	(38, 47.3452)	(39, 48.164699999999996)	(40, 48.2045)	(41, 47.558)	(42, 47.446)	(43, 48.339999999999996)	(44, 47.551500000000004)	(45, 48.151500000000006)	(46, 47.7434)	(47, 48.3522)	(48, 47.7249)	(49, 47.7323)	(50, 48.4109)	(51, 48.2068)	(52, 47.5273)	(53, 47.6763)	(54, 47.421400000000006)	(55, 48.795300000000005)	(56, 47.7006)	(57, 47.6976)	(58, 47.8665)	(59, 47.8234)	(60, 48.2854)	(61, 47.5043)	(62, 47.1694)	(63, 47.3134)	(64, 47.852)	(65, 48.701899999999995)	(66, 48.0891)	(67, 48.1198)	(68, 47.6268)	(69, 48.0922)	(70, 48.396699999999996)	(71, 47.2905)	(72, 47.988)	(73, 48.2325)	(74, 47.5944)	(75, 47.4069)	(76, 47.6628)	(77, 47.8072)	(78, 47.903)	(79, 48.7208)	(80, 47.8531)	(81, 47.7923)	(82, 47.5209)	(83, 47.7627)	(84, 47.6821)	(85, 47.1131)	(86, 47.9205)	(87, 47.9694)	(88, 47.8386)	(89, 47.652699999999996)	(90, 47.5333)	(91, 47.6635)	(92, 47.402100000000004)	(93, 47.5586)	(94, 47.653400000000005)	(95, 47.5171)	(96, 47.599799999999995)	(97, 47.674299999999995)	(98, 47.4544)	(99, 47.6689)	(100, 48.1424)
SRR1552450	(1, 73.581)	(2, 44.089099999999995)	(3, 52.3753)	(4, 49.1264)	(5, 48.5865)	(6, 45.4148)	(7, 43.8822)	(8, 52.025299999999994)	(9, 49.8377)	(10, 43.446200000000005)	(11, 56.705799999999996)	(12, 51.6563)	(13, 47.572199999999995)	(14, 48.8058)	(15, 49.844100000000005)	(16, 50.3021)	(17, 50.334)	(18, 49.892199999999995)	(19, 50.42060000000001)	(20, 50.087199999999996)	(21, 49.9287)	(22, 50.0421)	(23, 49.7253)	(24, 49.5997)	(25, 50.0787)	(26, 49.683)	(27, 49.716100000000004)	(28, 50.0367)	(29, 50.143)	(30, 49.7855)	(31, 49.9511)	(32, 49.7635)	(33, 49.654900000000005)	(34, 49.9274)	(35, 49.9294)	(36, 49.8231)	(37, 50.082800000000006)	(38, 49.8573)	(39, 49.4998)	(40, 49.856)	(41, 49.6654)	(42, 49.526199999999996)	(43, 49.903)	(44, 49.8333)	(45, 49.7121)	(46, 50.187400000000004)	(47, 49.6423)	(48, 49.6857)	(49, 50.2351)	(50, 49.7192)	(51, 49.6295)	(52, 49.810900000000004)	(53, 49.7087)	(54, 49.6207)	(55, 49.9338)	(56, 49.5987)	(57, 49.7023)	(58, 49.9)	(59, 49.7524)	(60, 49.4927)	(61, 49.872499999999995)	(62, 49.3884)	(63, 49.4016)	(64, 49.7222)	(65, 49.5787)	(66, 49.440200000000004)	(67, 49.6999)	(68, 49.622699999999995)	(69, 49.3556)	(70, 49.8641)	(71, 49.4619)	(72, 49.4409)	(73, 49.6864)	(74, 49.3495)	(75, 49.289899999999996)	(76, 49.6979)	(77, 49.6481)	(78, 49.438900000000004)	(79, 49.8065)	(80, 49.6461)	(81, 49.554700000000004)	(82, 49.5922)	(83, 49.5455)	(84, 49.3373)	(85, 49.7202)	(86, 49.5916)	(87, 49.411500000000004)	(88, 49.7954)	(89, 49.6329)	(90, 49.486599999999996)	(91, 49.7693)	(92, 49.3732)	(93, 49.398599999999995)	(94, 49.8133)	(95, 49.2436)	(96, 49.3102)	(97, 49.9565)	(98, 49.614599999999996)	(99, 49.3248)	(100, 49.8692)
SRR1552451	(1, 74.9219)	(2, 43.5405)	(3, 52.7617)	(4, 50.500299999999996)	(5, 48.4893)	(6, 45.692899999999995)	(7, 43.8362)	(8, 51.7527)	(9, 49.4818)	(10, 43.8291)	(11, 56.363)	(12, 51.5937)	(13, 47.7723)	(14, 51.0769)	(15, 49.9078)	(16, 50.444100000000006)	(17, 50.472300000000004)	(18, 49.9257)	(19, 50.642900000000004)	(20, 50.1507)	(21, 49.9627)	(22, 50.1008)	(23, 49.580200000000005)	(24, 49.6997)	(25, 50.3472)	(26, 49.7917)	(27, 49.7981)	(28, 50.4924)	(29, 49.9473)	(30, 49.814)	(31, 50.1975)	(32, 49.7698)	(33, 49.8665)	(34, 50.44650000000001)	(35, 50.077799999999996)	(36, 49.9683)	(37, 50.31529999999999)	(38, 50.0447)	(39, 49.7226)	(40, 49.9099)	(41, 49.6684)	(42, 49.4475)	(43, 50.26350000000001)	(44, 49.8054)	(45, 49.876599999999996)	(46, 50.273500000000006)	(47, 49.7117)	(48, 49.8472)	(49, 50.22489999999999)	(50, 49.9602)	(51, 49.6244)	(52, 50.004400000000004)	(53, 49.696600000000004)	(54, 49.427)	(55, 50.2796)	(56, 49.6461)	(57, 49.8614)	(58, 50.2585)	(59, 49.9206)	(60, 49.6242)	(61, 50.11750000000001)	(62, 49.556400000000004)	(63, 49.4867)	(64, 49.9927)	(65, 49.8288)	(66, 49.5588)	(67, 50.1819)	(68, 49.6906)	(69, 49.5648)	(70, 50.0784)	(71, 49.7031)	(72, 49.6301)	(73, 50.033899999999996)	(74, 49.7069)	(75, 49.7468)	(76, 50.043099999999995)	(77, 49.674600000000005)	(78, 49.6043)	(79, 50.043800000000005)	(80, 49.7734)	(81, 49.65)	(82, 50.077400000000004)	(83, 49.647000000000006)	(84, 49.6314)	(85, 50.06549999999999)	(86, 49.6977)	(87, 49.494)	(88, 50.22259999999999)	(89, 49.6867)	(90, 49.4646)	(91, 50.00320000000001)	(92, 49.7047)	(93, 49.5452)	(94, 49.9786)	(95, 49.8824)	(96, 49.580999999999996)	(97, 49.823299999999996)	(98, 49.8335)	(99, 49.739)	(100, 49.9249)
SRR1552452	(1, 74.5501)	(2, 44.3745)	(3, 52.428200000000004)	(4, 50.0919)	(5, 48.7092)	(6, 45.4893)	(7, 44.2292)	(8, 52.361000000000004)	(9, 50.1365)	(10, 44.0261)	(11, 57.0724)	(12, 51.88549999999999)	(13, 47.9675)	(14, 49.0738)	(15, 50.0595)	(16, 50.5966)	(17, 50.723600000000005)	(18, 50.1159)	(19, 50.761)	(20, 50.4341)	(21, 50.0931)	(22, 50.295199999999994)	(23, 49.7628)	(24, 49.7996)	(25, 50.6934)	(26, 50.20440000000001)	(27, 49.7597)	(28, 50.397400000000005)	(29, 50.1791)	(30, 50.049299999999995)	(31, 50.361599999999996)	(32, 49.777300000000004)	(33, 49.9278)	(34, 50.512299999999996)	(35, 50.146)	(36, 50.1901)	(37, 50.2776)	(38, 50.121)	(39, 49.9425)	(40, 50.406600000000005)	(41, 50.001200000000004)	(42, 49.6708)	(43, 50.2901)	(44, 50.0145)	(45, 49.9917)	(46, 50.63290000000001)	(47, 49.9968)	(48, 50.0226)	(49, 50.2204)	(50, 50.0642)	(51, 49.7641)	(52, 50.414)	(53, 49.9184)	(54, 49.7893)	(55, 50.2339)	(56, 50.0068)	(57, 50.048)	(58, 50.194)	(59, 50.1557)	(60, 49.8956)	(61, 50.2074)	(62, 49.736799999999995)	(63, 49.6101)	(64, 50.29749999999999)	(65, 49.9483)	(66, 49.978)	(67, 50.2136)	(68, 50.0864)	(69, 49.7476)	(70, 50.4123)	(71, 49.904700000000005)	(72, 49.7334)	(73, 50.048700000000004)	(74, 49.5302)	(75, 49.8211)	(76, 50.1802)	(77, 49.9018)	(78, 50.0254)	(79, 50.103500000000004)	(80, 50.0181)	(81, 49.7376)	(82, 50.1105)	(83, 49.7677)	(84, 49.757600000000004)	(85, 50.161500000000004)	(86, 49.8842)	(87, 49.7965)	(88, 49.890699999999995)	(89, 49.8461)	(90, 49.7765)	(91, 50.1186)	(92, 49.845800000000004)	(93, 49.7556)	(94, 50.2882)	(95, 49.8806)	(96, 49.789699999999996)	(97, 50.06080000000001)	(98, 49.972)	(99, 49.6541)	(100, 50.0208)
SRR1552453	(1, 74.6555)	(2, 44.7217)	(3, 53.051899999999996)	(4, 50.8593)	(5, 48.9137)	(6, 45.647)	(7, 44.4365)	(8, 52.60510000000001)	(9, 50.278)	(10, 44.6349)	(11, 57.0299)	(12, 52.1201)	(13, 48.1119)	(14, 49.2916)	(15, 50.025299999999994)	(16, 50.932100000000005)	(17, 50.744)	(18, 50.4159)	(19, 50.87429999999999)	(20, 50.458400000000005)	(21, 50.3799)	(22, 50.204899999999995)	(23, 50.205)	(24, 50.0239)	(25, 50.6268)	(26, 50.261)	(27, 50.056999999999995)	(28, 50.578900000000004)	(29, 50.369699999999995)	(30, 50.3713)	(31, 50.4622)	(32, 50.097)	(33, 49.9612)	(34, 50.6859)	(35, 50.3852)	(36, 50.2358)	(37, 50.6683)	(38, 50.4096)	(39, 49.9286)	(40, 50.3833)	(41, 50.2478)	(42, 49.7637)	(43, 50.4734)	(44, 50.1878)	(45, 50.1138)	(46, 50.5676)	(47, 50.1754)	(48, 50.1533)	(49, 50.544999999999995)	(50, 50.355199999999996)	(51, 49.972899999999996)	(52, 50.51989999999999)	(53, 50.0578)	(54, 50.047799999999995)	(55, 50.4865)	(56, 50.253899999999994)	(57, 50.4054)	(58, 50.3376)	(59, 50.3924)	(60, 49.8938)	(61, 50.307599999999994)	(62, 50.171699999999994)	(63, 49.8889)	(64, 50.3841)	(65, 50.308299999999996)	(66, 50.218700000000005)	(67, 50.5054)	(68, 50.2185)	(69, 50.076)	(70, 50.4341)	(71, 50.298)	(72, 49.953199999999995)	(73, 50.3698)	(74, 50.08709999999999)	(75, 50.0604)	(76, 50.43840000000001)	(77, 50.1903)	(78, 50.060300000000005)	(79, 50.3232)	(80, 50.3555)	(81, 49.904900000000005)	(82, 50.381299999999996)	(83, 50.0027)	(84, 49.8561)	(85, 50.317299999999996)	(86, 50.205200000000005)	(87, 50.0634)	(88, 50.2901)	(89, 50.016000000000005)	(90, 50.0649)	(91, 50.371500000000005)	(92, 50.08899999999999)	(93, 50.006099999999996)	(94, 50.269200000000005)	(95, 50.182700000000004)	(96, 49.9091)	(97, 50.2377)	(98, 50.3362)	(99, 50.0889)	(100, 50.281600000000005)
