Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
SRR1552444	(1, 75.44669999999999)	(2, 41.9533)	(3, 52.617999999999995)	(4, 50.132)	(5, 48.278)	(6, 44.9373)	(7, 43.9293)	(8, 51.2877)	(9, 49.472)	(10, 43.641999999999996)	(11, 56.603300000000004)	(12, 51.468)	(13, 47.784)	(14, 48.8303)	(15, 49.788)	(16, 50.5087)	(17, 50.339)	(18, 50.049699999999994)	(19, 50.516000000000005)	(20, 50.1267)	(21, 50.071299999999994)	(22, 50.016000000000005)	(23, 49.604)	(24, 49.561)	(25, 50.1503)	(26, 49.6417)	(27, 49.7423)	(28, 50.2587)	(29, 49.912)	(30, 49.778)	(31, 50.0327)	(32, 49.6353)	(33, 49.743700000000004)	(34, 50.302)	(35, 49.9637)	(36, 49.9027)	(37, 50.303)	(38, 49.6703)	(39, 49.6433)	(40, 50.144299999999994)	(41, 49.5473)	(42, 49.6247)	(43, 50.18129999999999)	(44, 49.6813)	(45, 49.7957)	(46, 50.357)	(47, 49.649)	(48, 49.8153)	(49, 50.1547)	(50, 49.5613)	(51, 49.8263)	(52, 50.343700000000005)	(53, 49.6077)	(54, 49.7733)	(55, 50.144999999999996)	(56, 49.796)	(57, 49.822300000000006)	(58, 50.224000000000004)	(59, 49.6713)	(60, 49.4677)	(61, 50.1363)	(62, 49.4873)	(63, 49.5093)	(64, 49.966)	(65, 49.7937)	(66, 49.6353)	(67, 50.098299999999995)	(68, 49.84)	(69, 49.5863)	(70, 50.076)	(71, 49.653000000000006)	(72, 49.6847)	(73, 49.9103)	(74, 49.628299999999996)	(75, 49.4763)	(76, 50.12)	(77, 49.4657)	(78, 49.659)	(79, 49.883300000000006)	(80, 49.6857)	(81, 49.4463)	(82, 50.129999999999995)	(83, 49.5757)	(84, 49.1987)	(85, 49.984)	(86, 49.644)	(87, 49.468)	(88, 50.0293)	(89, 49.586999999999996)	(90, 49.5923)	(91, 50.195299999999996)	(92, 49.723299999999995)	(93, 49.473299999999995)	(94, 49.918)	(95, 49.6193)	(96, 49.5277)	(97, 50.09400000000001)	(98, 49.660700000000006)	(99, 49.692)	(100, 50.166)
SRR1552445	(1, 73.9897)	(2, 44.5053)	(3, 53.0317)	(4, 50.7997)	(5, 48.938700000000004)	(6, 45.7113)	(7, 44.3393)	(8, 52.3223)	(9, 50.2757)	(10, 44.0393)	(11, 57.2577)	(12, 51.937999999999995)	(13, 47.942299999999996)	(14, 49.1773)	(15, 50.3853)	(16, 50.838300000000004)	(17, 50.53569999999999)	(18, 50.3367)	(19, 50.918699999999994)	(20, 50.517)	(21, 50.3857)	(22, 50.29900000000001)	(23, 50.148700000000005)	(24, 50.0053)	(25, 50.733700000000006)	(26, 50.134299999999996)	(27, 50.209)	(28, 50.647)	(29, 50.531000000000006)	(30, 50.161)	(31, 50.5273)	(32, 50.095299999999995)	(33, 50.1157)	(34, 50.6133)	(35, 50.52569999999999)	(36, 50.2923)	(37, 50.7297)	(38, 50.282000000000004)	(39, 50.1413)	(40, 51.504000000000005)	(41, 50.253)	(42, 50.029)	(43, 50.5657)	(44, 50.4293)	(45, 50.19630000000001)	(46, 50.908)	(47, 50.297000000000004)	(48, 50.126000000000005)	(49, 50.6993)	(50, 50.45269999999999)	(51, 50.194)	(52, 50.4933)	(53, 50.117999999999995)	(54, 50.159699999999994)	(55, 50.5087)	(56, 50.320299999999996)	(57, 50.3233)	(58, 50.572300000000006)	(59, 50.427)	(60, 49.993300000000005)	(61, 50.4607)	(62, 50.1683)	(63, 50.14769999999999)	(64, 50.4367)	(65, 50.3193)	(66, 50.0027)	(67, 50.550700000000006)	(68, 50.399300000000004)	(69, 49.9963)	(70, 50.52100000000001)	(71, 49.993700000000004)	(72, 50.0993)	(73, 50.346000000000004)	(74, 50.026700000000005)	(75, 50.266999999999996)	(76, 50.4323)	(77, 50.2657)	(78, 49.9737)	(79, 50.350300000000004)	(80, 50.4663)	(81, 49.909)	(82, 50.496300000000005)	(83, 50.110699999999994)	(84, 49.9923)	(85, 50.38)	(86, 49.946)	(87, 49.967299999999994)	(88, 50.534)	(89, 50.159)	(90, 49.9437)	(91, 50.647299999999994)	(92, 50.1687)	(93, 49.9867)	(94, 50.278)	(95, 50.219)	(96, 49.9073)	(97, 50.450300000000006)	(98, 50.1907)	(99, 50.0057)	(100, 50.6307)
SRR1552446	(1, 72.956)	(2, 43.2477)	(3, 51.092999999999996)	(4, 49.2357)	(5, 47.5913)	(6, 45.5573)	(7, 43.2523)	(8, 51.088699999999996)	(9, 49.354)	(10, 42.7527)	(11, 56.4477)	(12, 50.987)	(13, 46.984700000000004)	(14, 48.0593)	(15, 49.088)	(16, 49.6543)	(17, 49.756699999999995)	(18, 49.3587)	(19, 50.015299999999996)	(20, 49.455)	(21, 48.951299999999996)	(22, 49.3097)	(23, 48.418299999999995)	(24, 48.899)	(25, 49.466300000000004)	(26, 48.9247)	(27, 49.1487)	(28, 49.335)	(29, 49.481700000000004)	(30, 49.3103)	(31, 48.9217)	(32, 48.973)	(33, 49.14)	(34, 49.732)	(35, 49.4553)	(36, 49.434)	(37, 49.689299999999996)	(38, 49.094300000000004)	(39, 49.107299999999995)	(40, 50.549)	(41, 49.1077)	(42, 48.741)	(43, 49.4943)	(44, 48.982)	(45, 49.2183)	(46, 49.486999999999995)	(47, 49.2447)	(48, 48.9337)	(49, 49.4373)	(50, 49.273)	(51, 49.0893)	(52, 49.042)	(53, 49.1263)	(54, 48.9547)	(55, 49.643)	(56, 49.2027)	(57, 49.0967)	(58, 49.5257)	(59, 49.005700000000004)	(60, 49.0993)	(61, 49.113299999999995)	(62, 48.6557)	(63, 48.7337)	(64, 49.2147)	(65, 49.3937)	(66, 48.9197)	(67, 49.3303)	(68, 49.26)	(69, 48.853)	(70, 49.6177)	(71, 48.855)	(72, 49.1853)	(73, 49.378699999999995)	(74, 49.009)	(75, 48.7383)	(76, 49.2593)	(77, 49.081)	(78, 49.0517)	(79, 49.2677)	(80, 49.306)	(81, 48.8377)	(82, 49.0297)	(83, 48.8337)	(84, 48.7123)	(85, 49.113299999999995)	(86, 49.1497)	(87, 48.889300000000006)	(88, 49.3147)	(89, 48.951299999999996)	(90, 48.8173)	(91, 49.0947)	(92, 48.8827)	(93, 48.8157)	(94, 49.0843)	(95, 48.5953)	(96, 48.7577)	(97, 49.077)	(98, 48.773300000000006)	(99, 48.9643)	(100, 49.140699999999995)
SRR1552447	(1, 73.6867)	(2, 43.3667)	(3, 51.3027)	(4, 49.810300000000005)	(5, 47.905300000000004)	(6, 44.7853)	(7, 42.995)	(8, 51.07000000000001)	(9, 49.2107)	(10, 42.7347)	(11, 55.967299999999994)	(12, 50.977)	(13, 47.030300000000004)	(14, 47.782000000000004)	(15, 49.0243)	(16, 49.6817)	(17, 49.250699999999995)	(18, 49.1307)	(19, 49.842)	(20, 49.331)	(21, 48.823699999999995)	(22, 49.0603)	(23, 48.278)	(24, 48.6297)	(25, 49.492000000000004)	(26, 48.835)	(27, 48.923)	(28, 49.3547)	(29, 48.9323)	(30, 49.146)	(31, 48.5087)	(32, 48.736000000000004)	(33, 48.756699999999995)	(34, 49.4917)	(35, 49.121700000000004)	(36, 49.2703)	(37, 49.6483)	(38, 48.826)	(39, 48.914)	(40, 49.2603)	(41, 48.835699999999996)	(42, 48.608000000000004)	(43, 49.1663)	(44, 48.8997)	(45, 48.937999999999995)	(46, 49.2707)	(47, 49.0927)	(48, 48.842)	(49, 49.0707)	(50, 49.206)	(51, 48.9557)	(52, 49.042)	(53, 48.783)	(54, 48.687000000000005)	(55, 49.646699999999996)	(56, 48.798)	(57, 48.881)	(58, 49.2303)	(59, 48.9503)	(60, 49.014)	(61, 48.9013)	(62, 48.474000000000004)	(63, 48.685)	(64, 48.9827)	(65, 49.321)	(66, 48.881)	(67, 49.3693)	(68, 48.9597)	(69, 48.121700000000004)	(70, 49.1397)	(71, 48.7403)	(72, 48.728300000000004)	(73, 49.2123)	(74, 48.627700000000004)	(75, 48.7373)	(76, 49.15)	(77, 48.918299999999995)	(78, 49.018299999999996)	(79, 49.161300000000004)	(80, 48.992000000000004)	(81, 48.562)	(82, 48.8817)	(83, 48.6653)	(84, 48.743700000000004)	(85, 48.7433)	(86, 48.8137)	(87, 49.031000000000006)	(88, 49.2217)	(89, 48.7663)	(90, 48.5927)	(91, 48.924299999999995)	(92, 48.6567)	(93, 48.6267)	(94, 48.869299999999996)	(95, 48.7213)	(96, 48.5553)	(97, 48.9987)	(98, 48.7993)	(99, 48.805)	(100, 49.2033)
SRR1552448	(1, 72.7073)	(2, 42.3787)	(3, 49.8503)	(4, 48.1293)	(5, 46.8003)	(6, 44.243)	(7, 42.2553)	(8, 50.507999999999996)	(9, 49.351)	(10, 41.3613)	(11, 55.598000000000006)	(12, 50.5093)	(13, 46.225)	(14, 46.763)	(15, 48.245)	(16, 48.844)	(17, 48.52)	(18, 48.512699999999995)	(19, 49.6353)	(20, 48.662)	(21, 47.4517)	(22, 48.6713)	(23, 47.151700000000005)	(24, 48.1013)	(25, 48.8333)	(26, 47.7047)	(27, 48.476)	(28, 48.0543)	(29, 48.363299999999995)	(30, 48.756)	(31, 47.3343)	(32, 48.0317)	(33, 48.358000000000004)	(34, 48.987)	(35, 48.262699999999995)	(36, 49.0673)	(37, 49.002)	(38, 47.722300000000004)	(39, 48.504999999999995)	(40, 48.599)	(41, 48.0017)	(42, 47.826299999999996)	(43, 48.5767)	(44, 47.9033)	(45, 48.455)	(46, 48.076)	(47, 48.7507)	(48, 48.101)	(49, 47.917300000000004)	(50, 48.8433)	(51, 48.6083)	(52, 47.6933)	(53, 48.0087)	(54, 47.923700000000004)	(55, 49.144)	(56, 47.8893)	(57, 48.0647)	(58, 48.383700000000005)	(59, 48.216300000000004)	(60, 48.700700000000005)	(61, 47.8507)	(62, 47.281)	(63, 47.660000000000004)	(64, 48.099)	(65, 49.009)	(66, 48.4353)	(67, 48.5947)	(68, 47.847)	(69, 48.2553)	(70, 48.809000000000005)	(71, 47.729)	(72, 48.3363)	(73, 48.3637)	(74, 47.719699999999996)	(75, 47.8067)	(76, 48.187000000000005)	(77, 48.1987)	(78, 48.199999999999996)	(79, 49.3743)	(80, 48.0587)	(81, 48.1957)	(82, 47.821999999999996)	(83, 47.869299999999996)	(84, 47.868)	(85, 47.6513)	(86, 48.1707)	(87, 48.1453)	(88, 48.8263)	(89, 47.9353)	(90, 47.9587)	(91, 47.8903)	(92, 47.4663)	(93, 47.79)	(94, 48.1443)	(95, 47.7853)	(96, 47.6263)	(97, 47.9197)	(98, 47.666)	(99, 47.986000000000004)	(100, 48.3867)
SRR1552449	(1, 73.1447)	(2, 41.1843)	(3, 49.547000000000004)	(4, 47.631)	(5, 46.435700000000004)	(6, 43.686)	(7, 42.028)	(8, 50.4537)	(9, 49.012699999999995)	(10, 41.150999999999996)	(11, 55.3647)	(12, 50.240300000000005)	(13, 45.9313)	(14, 46.533)	(15, 48.176)	(16, 48.726)	(17, 48.0577)	(18, 48.299)	(19, 49.3753)	(20, 48.4037)	(21, 47.213699999999996)	(22, 48.444700000000005)	(23, 46.7317)	(24, 47.8043)	(25, 48.5533)	(26, 47.428)	(27, 48.359)	(28, 47.765299999999996)	(29, 47.9943)	(30, 48.621700000000004)	(31, 47.1217)	(32, 47.850300000000004)	(33, 48.073)	(34, 48.6903)	(35, 47.9737)	(36, 48.8163)	(37, 48.4593)	(38, 47.406)	(39, 48.234)	(40, 48.2883)	(41, 47.6367)	(42, 47.5207)	(43, 48.424)	(44, 47.6207)	(45, 48.2203)	(46, 47.8087)	(47, 48.4137)	(48, 47.796699999999994)	(49, 47.799)	(50, 48.478300000000004)	(51, 48.2837)	(52, 47.5923)	(53, 47.760000000000005)	(54, 47.497)	(55, 48.8617)	(56, 47.7787)	(57, 47.7773)	(58, 47.9477)	(59, 47.904)	(60, 48.3803)	(61, 47.576)	(62, 47.246)	(63, 47.376000000000005)	(64, 47.9297)	(65, 48.7657)	(66, 48.1593)	(67, 48.200700000000005)	(68, 47.7063)	(69, 48.168299999999995)	(70, 48.4673)	(71, 47.356300000000005)	(72, 48.0413)	(73, 48.295300000000005)	(74, 47.6543)	(75, 47.481)	(76, 47.7183)	(77, 47.8467)	(78, 47.969699999999996)	(79, 48.785000000000004)	(80, 47.9413)	(81, 47.856)	(82, 47.590700000000005)	(83, 47.8333)	(84, 47.752)	(85, 47.1787)	(86, 47.9687)	(87, 48.0293)	(88, 47.9103)	(89, 47.7207)	(90, 47.591699999999996)	(91, 47.7147)	(92, 47.4577)	(93, 47.5973)	(94, 47.705)	(95, 47.5693)	(96, 47.6487)	(97, 47.7313)	(98, 47.497699999999995)	(99, 47.705999999999996)	(100, 48.1773)
SRR1552450	(1, 73.611)	(2, 44.1183)	(3, 52.426700000000004)	(4, 49.1557)	(5, 48.646)	(6, 45.476)	(7, 43.9303)	(8, 52.095)	(9, 49.8837)	(10, 43.4903)	(11, 56.775)	(12, 51.694700000000005)	(13, 47.6233)	(14, 48.858000000000004)	(15, 49.872699999999995)	(16, 50.356)	(17, 50.370000000000005)	(18, 49.955)	(19, 50.470000000000006)	(20, 50.139)	(21, 49.991)	(22, 50.0817)	(23, 49.7983)	(24, 49.643)	(25, 50.151999999999994)	(26, 49.736999999999995)	(27, 49.7857)	(28, 50.091699999999996)	(29, 50.2263)	(30, 49.8537)	(31, 50.017)	(32, 49.836999999999996)	(33, 49.7387)	(34, 50.0093)	(35, 50.0217)	(36, 49.9223)	(37, 50.17470000000001)	(38, 49.945299999999996)	(39, 49.596000000000004)	(40, 49.93)	(41, 49.7453)	(42, 49.6167)	(43, 49.9913)	(44, 49.9253)	(45, 49.8133)	(46, 50.244)	(47, 49.7483)	(48, 49.791000000000004)	(49, 50.3177)	(50, 49.817299999999996)	(51, 49.6973)	(52, 49.8973)	(53, 49.7983)	(54, 49.721)	(55, 50.015299999999996)	(56, 49.69)	(57, 49.786)	(58, 50.001)	(59, 49.8493)	(60, 49.5907)	(61, 49.958999999999996)	(62, 49.5023)	(63, 49.5097)	(64, 49.8067)	(65, 49.671)	(66, 49.544700000000006)	(67, 49.791000000000004)	(68, 49.7087)	(69, 49.4633)	(70, 49.939699999999995)	(71, 49.5713)	(72, 49.529)	(73, 49.778)	(74, 49.4373)	(75, 49.358999999999995)	(76, 49.796)	(77, 49.722)	(78, 49.5143)	(79, 49.884699999999995)	(80, 49.7237)	(81, 49.627700000000004)	(82, 49.694700000000005)	(83, 49.640299999999996)	(84, 49.4197)	(85, 49.7947)	(86, 49.6917)	(87, 49.487700000000004)	(88, 49.8663)	(89, 49.7073)	(90, 49.571)	(91, 49.8283)	(92, 49.452)	(93, 49.464999999999996)	(94, 49.8923)	(95, 49.3277)	(96, 49.376999999999995)	(97, 50.037299999999995)	(98, 49.69)	(99, 49.3927)	(100, 49.939699999999995)
SRR1552451	(1, 74.9647)	(2, 43.572300000000006)	(3, 52.778999999999996)	(4, 50.547)	(5, 48.5387)	(6, 45.7707)	(7, 43.8737)	(8, 51.8017)	(9, 49.536)	(10, 43.8777)	(11, 56.420700000000004)	(12, 51.6363)	(13, 47.8133)	(14, 51.1157)	(15, 49.9797)	(16, 50.51369999999999)	(17, 50.535)	(18, 49.981700000000004)	(19, 50.705299999999994)	(20, 50.198)	(21, 50.0207)	(22, 50.153000000000006)	(23, 49.6313)	(24, 49.762299999999996)	(25, 50.41369999999999)	(26, 49.865300000000005)	(27, 49.8577)	(28, 50.56230000000001)	(29, 50.0143)	(30, 49.884299999999996)	(31, 50.273)	(32, 49.8413)	(33, 49.961)	(34, 50.515299999999996)	(35, 50.159299999999995)	(36, 50.035700000000006)	(37, 50.394000000000005)	(38, 50.118300000000005)	(39, 49.804700000000004)	(40, 49.988)	(41, 49.7383)	(42, 49.5287)	(43, 50.3257)	(44, 49.8897)	(45, 49.973)	(46, 50.367700000000006)	(47, 49.783699999999996)	(48, 49.915)	(49, 50.318)	(50, 50.0503)	(51, 49.708999999999996)	(52, 50.103699999999996)	(53, 49.7677)	(54, 49.5323)	(55, 50.354299999999995)	(56, 49.7183)	(57, 49.9533)	(58, 50.3467)	(59, 50.0227)	(60, 49.726)	(61, 50.18899999999999)	(62, 49.647000000000006)	(63, 49.582300000000004)	(64, 50.072700000000005)	(65, 49.907000000000004)	(66, 49.662)	(67, 50.26199999999999)	(68, 49.7607)	(69, 49.6263)	(70, 50.143)	(71, 49.7747)	(72, 49.7047)	(73, 50.1193)	(74, 49.772)	(75, 49.823299999999996)	(76, 50.1047)	(77, 49.7257)	(78, 49.679)	(79, 50.101)	(80, 49.841)	(81, 49.7247)	(82, 50.157300000000006)	(83, 49.7217)	(84, 49.712)	(85, 50.130300000000005)	(86, 49.7633)	(87, 49.5563)	(88, 50.282700000000006)	(89, 49.743700000000004)	(90, 49.507)	(91, 50.065000000000005)	(92, 49.736999999999995)	(93, 49.592000000000006)	(94, 50.0413)	(95, 49.8987)	(96, 49.5543)	(97, 49.9957)	(98, 49.8397)	(99, 49.823699999999995)	(100, 50.1533)
SRR1552452	(1, 74.579)	(2, 44.3897)	(3, 52.445299999999996)	(4, 50.1267)	(5, 48.766)	(6, 45.563700000000004)	(7, 44.270700000000005)	(8, 52.4037)	(9, 50.1893)	(10, 44.073299999999996)	(11, 57.1187)	(12, 51.9463)	(13, 48.022999999999996)	(14, 49.14)	(15, 50.0897)	(16, 50.658)	(17, 50.7897)	(18, 50.157)	(19, 50.8213)	(20, 50.446999999999996)	(21, 50.1733)	(22, 50.339)	(23, 49.8003)	(24, 49.858999999999995)	(25, 50.7547)	(26, 50.263000000000005)	(27, 49.8427)	(28, 50.466699999999996)	(29, 50.268)	(30, 50.110699999999994)	(31, 50.4323)	(32, 49.8247)	(33, 49.9973)	(34, 50.577000000000005)	(35, 50.2343)	(36, 50.246)	(37, 50.343)	(38, 50.20400000000001)	(39, 50.015299999999996)	(40, 50.475)	(41, 50.0707)	(42, 49.7463)	(43, 50.353)	(44, 50.0933)	(45, 50.0853)	(46, 50.7027)	(47, 50.0637)	(48, 50.0877)	(49, 50.315)	(50, 50.1397)	(51, 49.8463)	(52, 50.512299999999996)	(53, 49.993300000000005)	(54, 49.8763)	(55, 50.318)	(56, 50.080999999999996)	(57, 50.148700000000005)	(58, 50.2753)	(59, 50.25429999999999)	(60, 49.9833)	(61, 50.286699999999996)	(62, 49.8343)	(63, 49.7133)	(64, 50.36429999999999)	(65, 50.0217)	(66, 50.072300000000006)	(67, 50.288)	(68, 50.1583)	(69, 49.8217)	(70, 50.466699999999996)	(71, 49.971)	(72, 49.802)	(73, 50.110699999999994)	(74, 49.605700000000006)	(75, 49.8813)	(76, 50.254)	(77, 49.979)	(78, 50.0813)	(79, 50.1777)	(80, 50.0773)	(81, 49.7983)	(82, 50.17)	(83, 49.8397)	(84, 49.833)	(85, 50.2147)	(86, 49.9647)	(87, 49.858000000000004)	(88, 49.9427)	(89, 49.9103)	(90, 49.8353)	(91, 50.17)	(92, 49.9077)	(93, 49.7943)	(94, 50.327299999999994)	(95, 49.884)	(96, 49.775000000000006)	(97, 50.232)	(98, 49.9623)	(99, 49.733)	(100, 50.268)
SRR1552453	(1, 74.703)	(2, 44.8027)	(3, 53.1157)	(4, 50.9433)	(5, 49.027300000000004)	(6, 45.757)	(7, 44.516)	(8, 52.696299999999994)	(9, 50.382000000000005)	(10, 44.7217)	(11, 57.123000000000005)	(12, 52.242999999999995)	(13, 48.223)	(14, 49.409)	(15, 50.13530000000001)	(16, 51.0413)	(17, 50.877700000000004)	(18, 50.527699999999996)	(19, 50.991699999999994)	(20, 50.576699999999995)	(21, 50.495999999999995)	(22, 50.3243)	(23, 50.3443)	(24, 50.1413)	(25, 50.748000000000005)	(26, 50.4043)	(27, 50.188)	(28, 50.7103)	(29, 50.49400000000001)	(30, 50.5097)	(31, 50.601)	(32, 50.2277)	(33, 50.110299999999995)	(34, 50.8393)	(35, 50.532)	(36, 50.367700000000006)	(37, 50.7973)	(38, 50.562)	(39, 50.0657)	(40, 50.51)	(41, 50.4003)	(42, 49.9093)	(43, 50.5977)	(44, 50.316700000000004)	(45, 50.2653)	(46, 50.7047)	(47, 50.3323)	(48, 50.3003)	(49, 50.712999999999994)	(50, 50.502)	(51, 50.13999999999999)	(52, 50.690000000000005)	(53, 50.222699999999996)	(54, 50.2117)	(55, 50.6403)	(56, 50.3977)	(57, 50.5583)	(58, 50.495000000000005)	(59, 50.54729999999999)	(60, 50.0543)	(61, 50.44)	(62, 50.318)	(63, 50.0343)	(64, 50.5227)	(65, 50.444)	(66, 50.3493)	(67, 50.646)	(68, 50.365700000000004)	(69, 50.2017)	(70, 50.558)	(71, 50.443000000000005)	(72, 50.07899999999999)	(73, 50.497)	(74, 50.2233)	(75, 50.19)	(76, 50.5693)	(77, 50.3127)	(78, 50.1927)	(79, 50.477700000000006)	(80, 50.495999999999995)	(81, 50.019999999999996)	(82, 50.4903)	(83, 50.12799999999999)	(84, 50.010299999999994)	(85, 50.449299999999994)	(86, 50.3243)	(87, 50.164699999999996)	(88, 50.4127)	(89, 50.1513)	(90, 50.1633)	(91, 50.4893)	(92, 50.202000000000005)	(93, 50.0803)	(94, 50.3947)	(95, 50.2687)	(96, 49.9313)	(97, 50.4737)	(98, 50.393699999999995)	(99, 50.2373)	(100, 50.568999999999996)
