Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
SRR1552444	(1, 0.039)	(2, 0.0)	(3, 0.0)	(4, 0.0033333300000000002)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0006666669999999999)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.012333299999999998)	(62, 0.0)	(63, 0.0)	(64, 0.007333330000000001)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.025666699999999997)	(73, 0.015)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.0216667)	(78, 0.0)	(79, 0.0)	(80, 0.034999999999999996)	(81, 0.0)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.00133333)	(94, 0.0)	(95, 0.0113333)	(96, 0.00133333)	(97, 0.0)	(98, 0.036666699999999997)	(99, 0.013999999999999999)	(100, 0.002)
SRR1552445	(1, 0.09366669999999999)	(2, 0.0)	(3, 0.0)	(4, 0.017)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0116667)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.004)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.00266667)	(61, 0.032333299999999995)	(62, 0.001)	(63, 0.0)	(64, 0.0106667)	(65, 0.0046666699999999995)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.000333333)	(73, 0.000333333)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.000333333)	(78, 0.0)	(79, 0.0)	(80, 0.000333333)	(81, 0.0)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.011000000000000001)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.017)	(94, 0.014666700000000001)	(95, 0.026)	(96, 0.027)	(97, 0.008)	(98, 0.0416667)	(99, 0.012333299999999998)	(100, 0.0)
SRR1552446	(1, 0.122)	(2, 0.0)	(3, 0.0)	(4, 0.013)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0133333)	(52, 0.006999999999999999)	(53, 0.0)	(54, 0.0046666699999999995)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.00433333)	(61, 0.0136667)	(62, 0.0023333299999999998)	(63, 0.0)	(64, 0.0)	(65, 0.005)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.0)	(71, 0.001)	(72, 0.0326667)	(73, 0.020333300000000002)	(74, 0.0)	(75, 0.00533333)	(76, 0.0046666699999999995)	(77, 0.0273333)	(78, 0.01)	(79, 0.0)	(80, 0.029)	(81, 0.0066666699999999995)	(82, 0.0)	(83, 0.0033333300000000002)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.006333330000000001)	(94, 0.0133333)	(95, 0.0103333)	(96, 0.018000000000000002)	(97, 0.01)	(98, 0.0693333)	(99, 0.0373333)	(100, 0.019666700000000002)
SRR1552447	(1, 0.042333300000000004)	(2, 0.0)	(3, 0.0)	(4, 0.011000000000000001)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.01)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.00533333)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.0133333)	(62, 0.0)	(63, 0.0)	(64, 0.01)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.00933333)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.00833333)	(94, 0.0)	(95, 0.0133333)	(96, 0.006)	(97, 0.0)	(98, 0.027666700000000002)	(99, 0.0136667)	(100, 0.0)
SRR1552448	(1, 0.20233299999999999)	(2, 0.0)	(3, 0.0)	(4, 0.0163333)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.001)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.025)	(52, 0.0133333)	(53, 0.0)	(54, 0.00533333)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.002)	(61, 0.013)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.003)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.0)	(71, 0.009000000000000001)	(72, 0.076)	(73, 0.054666700000000006)	(74, 0.0)	(75, 0.009666669999999999)	(76, 0.0103333)	(77, 0.0756667)	(78, 0.0163333)	(79, 0.0)	(80, 0.0643333)	(81, 0.0006666669999999999)	(82, 0.0)	(83, 0.009000000000000001)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.00833333)	(94, 0.012666700000000001)	(95, 0.011000000000000001)	(96, 0.0236667)	(97, 0.009666669999999999)	(98, 0.106)	(99, 0.033)	(100, 0.001)
SRR1552449	(1, 0.187)	(2, 0.0)	(3, 0.0)	(4, 0.02)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0033333300000000002)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.024333300000000002)	(52, 0.0103333)	(53, 0.0)	(54, 0.00366667)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.00133333)	(61, 0.0136667)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.00366667)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.0)	(71, 0.007333330000000001)	(72, 0.074)	(73, 0.0536667)	(74, 0.0)	(75, 0.00866667)	(76, 0.008)	(77, 0.0773333)	(78, 0.0136667)	(79, 0.0)	(80, 0.0596667)	(81, 0.0033333300000000002)	(82, 0.0)	(83, 0.007333330000000001)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.0066666699999999995)	(94, 0.0136667)	(95, 0.009000000000000001)	(96, 0.0233333)	(97, 0.008)	(98, 0.098)	(99, 0.0316667)	(100, 0.00366667)
SRR1552450	(1, 0.11066699999999999)	(2, 0.0)	(3, 0.0)	(4, 0.011000000000000001)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.001)	(35, 0.00266667)	(36, 0.012)	(37, 0.001)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.006999999999999999)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0006666669999999999)	(91, 0.0)	(92, 0.0)	(93, 0.00166667)	(94, 0.0)	(95, 0.0)	(96, 0.0)	(97, 0.0)	(98, 0.0783333)	(99, 0.09866670000000001)	(100, 0.045666700000000005)
SRR1552451	(1, 0.0353333)	(2, 0.0)	(3, 0.0)	(4, 0.002)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.002)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.00166667)	(36, 0.013)	(37, 0.00133333)	(38, 0.0046666699999999995)	(39, 0.0056666699999999995)	(40, 0.0006666669999999999)	(41, 0.0)	(42, 0.0046666699999999995)	(43, 0.0)	(44, 0.004)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.013)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.006999999999999999)	(74, 0.00166667)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.012333299999999998)	(81, 0.0)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.00133333)	(91, 0.0)	(92, 0.009000000000000001)	(93, 0.00833333)	(94, 0.0046666699999999995)	(95, 0.0006666669999999999)	(96, 0.0046666699999999995)	(97, 0.0)	(98, 0.0183333)	(99, 0.02)	(100, 0.0023333299999999998)
SRR1552452	(1, 0.183)	(2, 0.0)	(3, 0.0)	(4, 0.018000000000000002)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.003)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0066666699999999995)	(35, 0.013)	(36, 0.033)	(37, 0.008)	(38, 0.0)	(39, 0.0)	(40, 0.0006666669999999999)	(41, 0.0)	(42, 0.00166667)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.030333299999999997)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.0)	(91, 0.0)	(92, 0.0)	(93, 0.012666700000000001)	(94, 0.0)	(95, 0.0)	(96, 0.0)	(97, 0.0)	(98, 0.0913333)	(99, 0.12033300000000001)	(100, 0.036666699999999997)
SRR1552453	(1, 0.06766670000000001)	(2, 0.0)	(3, 0.0)	(4, 0.00933333)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0103333)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0)	(24, 0.0)	(25, 0.0)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.00433333)	(36, 0.019666700000000002)	(37, 0.0033333300000000002)	(38, 0.006999999999999999)	(39, 0.0076666699999999996)	(40, 0.00433333)	(41, 0.0)	(42, 0.007333330000000001)	(43, 0.0)	(44, 0.0023333299999999998)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)	(52, 0.0)	(53, 0.0)	(54, 0.0)	(55, 0.0)	(56, 0.0)	(57, 0.0)	(58, 0.0)	(59, 0.0)	(60, 0.0)	(61, 0.019)	(62, 0.0)	(63, 0.0)	(64, 0.0)	(65, 0.0)	(66, 0.0)	(67, 0.0)	(68, 0.0)	(69, 0.0)	(70, 0.0)	(71, 0.0)	(72, 0.0)	(73, 0.0)	(74, 0.0)	(75, 0.0)	(76, 0.0)	(77, 0.0)	(78, 0.0)	(79, 0.0)	(80, 0.0)	(81, 0.0)	(82, 0.0)	(83, 0.0)	(84, 0.0)	(85, 0.0)	(86, 0.0)	(87, 0.0)	(88, 0.0)	(89, 0.0)	(90, 0.00266667)	(91, 0.0)	(92, 0.0136667)	(93, 0.012)	(94, 0.006999999999999999)	(95, 0.006999999999999999)	(96, 0.006999999999999999)	(97, 0.0)	(98, 0.0226667)	(99, 0.0333333)	(100, 0.0)
