Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
SRR1552444	(1, 32.7159)	(2, 32.8409)	(3, 32.9026)	(4, 36.32)	(5, 36.2125)	(6, 36.1531)	(7, 36.1426)	(8, 36.1125)	(9, 37.9753)	(10, 37.9769)	(11, 37.975)	(12, 37.8596)	(13, 37.8998)	(14, 39.3794)	(15, 39.3209)	(16, 39.3233)	(17, 39.3533)	(18, 39.369)	(19, 39.3623)	(20, 39.3204)	(21, 39.3242)	(22, 39.2529)	(23, 39.1465)	(24, 39.156)	(25, 39.161)	(26, 39.1112)	(27, 39.0394)	(28, 39.0202)	(29, 38.927)	(30, 38.8482)	(31, 38.8443)	(32, 38.8186)	(33, 38.7711)	(34, 38.6936)	(35, 38.6135)	(36, 38.5334)	(37, 38.4385)	(38, 38.4465)	(39, 38.6325)	(40, 38.6925)	(41, 38.656)	(42, 38.5742)	(43, 38.5525)	(44, 38.4772)	(45, 38.4675)	(46, 38.3728)	(47, 38.2984)	(48, 38.1356)	(49, 38.1456)	(50, 38.0846)	(51, 37.9739)	(52, 37.8844)	(53, 37.7843)	(54, 37.7023)	(55, 37.6233)	(56, 37.4281)	(57, 37.2539)	(58, 37.1096)	(59, 37.2202)	(60, 37.1361)	(61, 36.9896)	(62, 36.826)	(63, 36.7222)	(64, 36.5206)	(65, 36.3916)	(66, 36.2235)	(67, 36.0194)	(68, 35.817)	(69, 35.6302)	(70, 35.5101)	(71, 35.2923)	(72, 35.1193)	(73, 34.8876)	(74, 34.7716)	(75, 34.6357)	(76, 33.1453)	(77, 33.689)	(78, 33.9919)	(79, 34.0318)	(80, 33.9457)	(81, 33.8494)	(82, 33.7456)	(83, 33.6469)	(84, 33.5547)	(85, 33.4104)	(86, 33.2634)	(87, 33.2318)	(88, 33.1435)	(89, 33.0198)	(90, 32.9201)	(91, 32.8308)	(92, 32.7654)	(93, 32.6453)	(94, 32.5647)	(95, 32.419)	(96, 32.3962)	(97, 32.2566)	(98, 32.1817)	(99, 32.0913)	(100, 31.9722)
SRR1552445	(1, 32.1799)	(2, 32.6653)	(3, 32.8989)	(4, 36.3243)	(5, 36.2997)	(6, 36.307)	(7, 36.1869)	(8, 36.2542)	(9, 38.0459)	(10, 38.1087)	(11, 38.0627)	(12, 38.0409)	(13, 38.0596)	(14, 39.5833)	(15, 39.5556)	(16, 39.5611)	(17, 39.5419)	(18, 39.5531)	(19, 39.6026)	(20, 39.5442)	(21, 39.5278)	(22, 39.4741)	(23, 39.4562)	(24, 39.4435)	(25, 39.3911)	(26, 39.3297)	(27, 39.2536)	(28, 39.1619)	(29, 39.1133)	(30, 39.0616)	(31, 39.0224)	(32, 38.9788)	(33, 38.8941)	(34, 38.8604)	(35, 38.7333)	(36, 38.6553)	(37, 38.5753)	(38, 38.4613)	(39, 38.7913)	(40, 33.7612)	(41, 36.343)	(42, 37.5726)	(43, 38.1123)	(44, 38.3301)	(45, 38.37)	(46, 38.3702)	(47, 38.3918)	(48, 38.2567)	(49, 38.2336)	(50, 38.1875)	(51, 38.0509)	(52, 37.9341)	(53, 37.8568)	(54, 37.6876)	(55, 37.519)	(56, 37.462)	(57, 37.3388)	(58, 37.1496)	(59, 37.2639)	(60, 37.1483)	(61, 36.9296)	(62, 36.8255)	(63, 36.6529)	(64, 36.4388)	(65, 36.2945)	(66, 36.1483)	(67, 35.961)	(68, 35.6829)	(69, 32.1329)	(70, 33.4445)	(71, 34.3327)	(72, 34.6157)	(73, 34.5884)	(74, 34.5379)	(75, 34.4534)	(76, 33.2851)	(77, 33.6818)	(78, 33.889)	(79, 33.8792)	(80, 33.7711)	(81, 33.6229)	(82, 33.5298)	(83, 33.3914)	(84, 33.3015)	(85, 33.1722)	(86, 32.9672)	(87, 32.9186)	(88, 32.7715)	(89, 32.5703)	(90, 32.5267)	(91, 32.4205)	(92, 32.2977)	(93, 32.1719)	(94, 32.0983)	(95, 31.9839)	(96, 31.8138)	(97, 31.699)	(98, 31.5585)	(99, 31.402)	(100, 31.1843)
SRR1552446	(1, 31.604)	(2, 32.2161)	(3, 31.292)	(4, 35.6521)	(5, 35.8428)	(6, 34.5656)	(7, 35.212)	(8, 35.6682)	(9, 37.4916)	(10, 37.6407)	(11, 37.648)	(12, 37.6393)	(13, 37.6768)	(14, 39.0867)	(15, 39.0201)	(16, 39.0764)	(17, 39.0859)	(18, 39.0868)	(19, 39.1377)	(20, 39.0556)	(21, 39.0708)	(22, 39.0179)	(23, 38.9634)	(24, 38.9805)	(25, 38.8372)	(26, 38.7498)	(27, 38.6802)	(28, 38.5599)	(29, 38.5232)	(30, 38.5781)	(31, 38.4629)	(32, 38.4677)	(33, 38.4878)	(34, 38.4084)	(35, 38.3796)	(36, 38.2309)	(37, 38.2123)	(38, 38.0626)	(39, 38.2948)	(40, 35.7396)	(41, 37.0237)	(42, 37.7066)	(43, 37.9118)	(44, 38.0344)	(45, 38.0599)	(46, 38.0389)	(47, 37.9823)	(48, 37.9259)	(49, 37.8305)	(50, 37.72)	(51, 37.6084)	(52, 37.4592)	(53, 37.4319)	(54, 37.2878)	(55, 37.187)	(56, 37.1204)	(57, 37.0219)	(58, 36.9096)	(59, 37.0395)	(60, 36.9595)	(61, 36.6924)	(62, 36.4781)	(63, 36.2318)	(64, 36.0441)	(65, 35.9894)	(66, 35.8726)	(67, 35.702)	(68, 35.4924)	(69, 35.2232)	(70, 35.1755)	(71, 35.0824)	(72, 34.8612)	(73, 34.6193)	(74, 34.51)	(75, 34.3007)	(76, 32.8944)	(77, 33.379)	(78, 33.705)	(79, 33.6162)	(80, 33.5156)	(81, 33.4256)	(82, 33.3737)	(83, 33.1373)	(84, 33.0302)	(85, 32.918)	(86, 32.7329)	(87, 32.5607)	(88, 32.4303)	(89, 32.3991)	(90, 32.3506)	(91, 32.1661)	(92, 32.098)	(93, 31.9731)	(94, 31.8885)	(95, 31.8201)	(96, 31.7024)	(97, 31.5888)	(98, 31.3807)	(99, 31.2743)	(100, 31.0936)
SRR1552447	(1, 32.8516)	(2, 32.9804)	(3, 33.0462)	(4, 36.3413)	(5, 36.3415)	(6, 36.3363)	(7, 36.2225)	(8, 36.253)	(9, 38.0818)	(10, 38.1032)	(11, 38.0969)	(12, 38.0299)	(13, 38.0575)	(14, 39.5546)	(15, 39.5471)	(16, 39.5339)	(17, 39.4788)	(18, 39.4813)	(19, 39.5461)	(20, 39.5138)	(21, 39.5113)	(22, 39.529)	(23, 39.4794)	(24, 39.413)	(25, 39.3887)	(26, 39.2856)	(27, 39.2869)	(28, 39.2618)	(29, 39.1747)	(30, 39.1571)	(31, 39.0229)	(32, 38.9827)	(33, 38.9127)	(34, 38.8689)	(35, 38.7736)	(36, 38.6793)	(37, 38.6837)	(38, 38.5907)	(39, 38.8509)	(40, 38.8946)	(41, 38.909)	(42, 38.9054)	(43, 38.8398)	(44, 38.7475)	(45, 38.7256)	(46, 38.683)	(47, 38.5867)	(48, 38.5042)	(49, 38.4832)	(50, 38.4338)	(51, 38.3056)	(52, 38.2306)	(53, 38.1516)	(54, 38.004)	(55, 37.888)	(56, 37.7885)	(57, 37.6904)	(58, 37.5214)	(59, 37.6583)	(60, 37.5284)	(61, 37.4158)	(62, 37.3051)	(63, 37.1691)	(64, 36.9823)	(65, 36.8285)	(66, 36.6824)	(67, 36.502)	(68, 36.2408)	(69, 33.1132)	(70, 34.2682)	(71, 34.863)	(72, 35.0936)	(73, 35.0432)	(74, 34.9831)	(75, 34.872)	(76, 33.6274)	(77, 34.0796)	(78, 34.2438)	(79, 34.1975)	(80, 34.087)	(81, 33.9697)	(82, 33.8565)	(83, 33.7062)	(84, 33.6232)	(85, 33.5034)	(86, 33.3282)	(87, 33.2083)	(88, 33.1032)	(89, 32.9552)	(90, 32.8923)	(91, 32.8247)	(92, 32.727)	(93, 32.5644)	(94, 32.4267)	(95, 32.3398)	(96, 32.2512)	(97, 32.0998)	(98, 32.0039)	(99, 31.8932)	(100, 31.7791)
SRR1552448	(1, 32.136)	(2, 32.3653)	(3, 31.054)	(4, 35.592)	(5, 35.7881)	(6, 35.8985)	(7, 35.8862)	(8, 35.904)	(9, 37.6457)	(10, 37.6325)	(11, 37.6637)	(12, 37.6033)	(13, 37.6015)	(14, 38.9918)	(15, 37.2408)	(16, 37.9519)	(17, 38.271)	(18, 38.4557)	(19, 38.6829)	(20, 38.7924)	(21, 38.8243)	(22, 38.8879)	(23, 38.9147)	(24, 38.8724)	(25, 38.8058)	(26, 38.7159)	(27, 38.7451)	(28, 38.7145)	(29, 38.7009)	(30, 38.6504)	(31, 38.5824)	(32, 38.5457)	(33, 38.4478)	(34, 38.3851)	(35, 38.3513)	(36, 38.2608)	(37, 38.2043)	(38, 38.1414)	(39, 38.3198)	(40, 38.3408)	(41, 38.3053)	(42, 38.2963)	(43, 38.2645)	(44, 38.2087)	(45, 38.1297)	(46, 38.1154)	(47, 38.0884)	(48, 38.0359)	(49, 37.9674)	(50, 37.936)	(51, 37.8409)	(52, 37.7555)	(53, 37.6441)	(54, 37.6069)	(55, 37.5363)	(56, 37.3881)	(57, 37.321)	(58, 37.2341)	(59, 37.38)	(60, 37.3494)	(61, 37.2024)	(62, 37.1094)	(63, 37.0234)	(64, 36.8049)	(65, 36.6581)	(66, 36.4737)	(67, 36.3493)	(68, 36.2131)	(69, 36.0666)	(70, 35.868)	(71, 35.661)	(72, 35.4402)	(73, 35.114)	(74, 34.9029)	(75, 34.7538)	(76, 33.1175)	(77, 33.7049)	(78, 33.9423)	(79, 32.5693)	(80, 32.9617)	(81, 33.3637)	(82, 33.498)	(83, 33.4517)	(84, 33.3918)	(85, 33.2962)	(86, 33.1868)	(87, 32.9833)	(88, 31.7521)	(89, 32.0076)	(90, 32.3804)	(91, 32.4855)	(92, 32.4905)	(93, 32.4316)	(94, 32.105)	(95, 32.0919)	(96, 32.1168)	(97, 32.0861)	(98, 32.0041)	(99, 31.916)	(100, 31.8555)
SRR1552449	(1, 32.1556)	(2, 32.3541)	(3, 31.3247)	(4, 35.6401)	(5, 35.773)	(6, 35.8652)	(7, 35.8656)	(8, 35.875)	(9, 37.6063)	(10, 37.585)	(11, 37.6278)	(12, 37.5406)	(13, 37.5591)	(14, 38.9024)	(15, 37.1323)	(16, 37.8366)	(17, 38.2049)	(18, 38.3686)	(19, 38.6253)	(20, 38.7476)	(21, 38.7865)	(22, 38.86)	(23, 38.8679)	(24, 38.8024)	(25, 38.774)	(26, 38.6832)	(27, 38.6857)	(28, 38.6894)	(29, 38.6452)	(30, 38.6105)	(31, 38.5453)	(32, 38.4906)	(33, 38.4018)	(34, 38.3033)	(35, 38.2814)	(36, 38.1971)	(37, 38.1522)	(38, 38.0782)	(39, 38.2861)	(40, 38.3084)	(41, 38.2889)	(42, 38.2602)	(43, 38.2261)	(44, 38.202)	(45, 38.1358)	(46, 38.0923)	(47, 38.0333)	(48, 38.0143)	(49, 37.9393)	(50, 37.8839)	(51, 37.7948)	(52, 37.6984)	(53, 37.6083)	(54, 37.5572)	(55, 37.4907)	(56, 37.3612)	(57, 37.2656)	(58, 37.212)	(59, 37.3749)	(60, 37.3192)	(61, 37.2047)	(62, 37.0798)	(63, 36.9772)	(64, 36.7723)	(65, 36.6191)	(66, 36.4614)	(67, 36.3688)	(68, 36.1688)	(69, 35.9976)	(70, 35.8336)	(71, 35.5969)	(72, 35.3991)	(73, 35.0845)	(74, 34.9605)	(75, 34.8029)	(76, 33.1539)	(77, 33.7285)	(78, 34.0264)	(79, 33.4026)	(80, 33.5288)	(81, 33.68)	(82, 33.6579)	(83, 33.5572)	(84, 33.4539)	(85, 33.358)	(86, 33.2248)	(87, 33.0782)	(88, 33.0265)	(89, 32.9515)	(90, 32.8715)	(91, 32.769)	(92, 32.6836)	(93, 32.5723)	(94, 32.4489)	(95, 32.3656)	(96, 32.2814)	(97, 32.2076)	(98, 32.1052)	(99, 32.026)	(100, 31.9488)
SRR1552450	(1, 30.9791)	(2, 31.8679)	(3, 26.9506)	(4, 33.7727)	(5, 35.0004)	(6, 35.4247)	(7, 35.5912)	(8, 35.6908)	(9, 37.5029)	(10, 37.4384)	(11, 37.4843)	(12, 37.454)	(13, 37.4108)	(14, 38.7755)	(15, 38.7487)	(16, 38.7202)	(17, 38.7984)	(18, 38.7063)	(19, 38.8014)	(20, 38.7584)	(21, 38.7937)	(22, 38.2032)	(23, 38.3725)	(24, 38.5254)	(25, 38.4551)	(26, 38.4915)	(27, 38.3719)	(28, 38.3798)	(29, 38.3794)	(30, 38.3634)	(31, 38.1036)	(32, 38.0982)	(33, 38.1112)	(34, 38.1265)	(35, 38.0404)	(36, 37.9408)	(37, 37.961)	(38, 37.8527)	(39, 37.9999)	(40, 38.0022)	(41, 38.0575)	(42, 37.8767)	(43, 37.944)	(44, 37.9311)	(45, 37.7915)	(46, 37.7863)	(47, 37.7128)	(48, 37.5717)	(49, 37.5392)	(50, 37.4299)	(51, 37.2996)	(52, 37.0939)	(53, 36.9666)	(54, 37.0381)	(55, 36.9091)	(56, 36.7299)	(57, 36.626)	(58, 36.4065)	(59, 36.6479)	(60, 36.5212)	(61, 36.3759)	(62, 36.2935)	(63, 36.1405)	(64, 35.9686)	(65, 35.7302)	(66, 35.6538)	(67, 35.4844)	(68, 35.3174)	(69, 35.0612)	(70, 34.9289)	(71, 34.7386)	(72, 34.4665)	(73, 34.3377)	(74, 34.1775)	(75, 33.9811)	(76, 32.4734)	(77, 33.01)	(78, 33.324)	(79, 33.3744)	(80, 33.3568)	(81, 33.3213)	(82, 33.2123)	(83, 33.0723)	(84, 32.9498)	(85, 32.795)	(86, 32.7485)	(87, 32.6868)	(88, 32.5158)	(89, 32.4875)	(90, 32.3361)	(91, 32.2516)	(92, 32.1995)	(93, 32.0515)	(94, 31.9223)	(95, 31.7852)	(96, 31.7069)	(97, 31.5142)	(98, 31.3399)	(99, 30.8706)	(100, 30.8656)
SRR1552451	(1, 32.7455)	(2, 32.8918)	(3, 32.9083)	(4, 36.3392)	(5, 36.2428)	(6, 36.2159)	(7, 36.11)	(8, 36.178)	(9, 37.9917)	(10, 38.0157)	(11, 37.9854)	(12, 37.9244)	(13, 37.8696)	(14, 35.1615)	(15, 37.7162)	(16, 38.5717)	(17, 38.9376)	(18, 39.1332)	(19, 39.2682)	(20, 39.3451)	(21, 39.2794)	(22, 39.3192)	(23, 39.1954)	(24, 39.2332)	(25, 39.2364)	(26, 39.1954)	(27, 39.1271)	(28, 39.0677)	(29, 38.9776)	(30, 38.8961)	(31, 38.8863)	(32, 38.77)	(33, 38.7)	(34, 38.6561)	(35, 38.6542)	(36, 38.5466)	(37, 38.562)	(38, 38.4548)	(39, 38.6337)	(40, 38.6881)	(41, 38.6329)	(42, 38.6003)	(43, 38.5742)	(44, 38.5505)	(45, 38.4955)	(46, 38.45)	(47, 38.3725)	(48, 38.2984)	(49, 38.2711)	(50, 38.1516)	(51, 38.0597)	(52, 37.9843)	(53, 37.866)	(54, 37.7619)	(55, 37.6437)	(56, 37.5025)	(57, 37.3662)	(58, 37.1842)	(59, 37.2257)	(60, 37.1332)	(61, 36.9116)	(62, 36.8296)	(63, 36.7026)	(64, 36.4778)	(65, 36.4015)	(66, 36.2805)	(67, 36.0309)	(68, 35.8565)	(69, 35.6291)	(70, 35.4083)	(71, 35.3553)	(72, 35.1842)	(73, 35.0211)	(74, 34.882)	(75, 34.1796)	(76, 33.0083)	(77, 33.6993)	(78, 34.0108)	(79, 34.0524)	(80, 33.9623)	(81, 33.889)	(82, 33.7802)	(83, 33.6289)	(84, 33.5288)	(85, 33.4382)	(86, 33.3654)	(87, 33.2211)	(88, 33.1123)	(89, 33.0047)	(90, 32.8)	(91, 32.7641)	(92, 32.6564)	(93, 32.5322)	(94, 32.4996)	(95, 32.3924)	(96, 32.3229)	(97, 32.1623)	(98, 32.08)	(99, 31.9621)	(100, 31.8675)
SRR1552452	(1, 32.6094)	(2, 32.7497)	(3, 32.8001)	(4, 36.256)	(5, 36.1565)	(6, 36.1177)	(7, 36.0736)	(8, 36.1017)	(9, 37.8819)	(10, 37.8153)	(11, 37.8623)	(12, 37.7896)	(13, 37.7658)	(14, 39.2402)	(15, 39.241)	(16, 39.1605)	(17, 39.2008)	(18, 39.1867)	(19, 39.2192)	(20, 39.1809)	(21, 39.1892)	(22, 39.1476)	(23, 39.1375)	(24, 39.1093)	(25, 39.0204)	(26, 38.9624)	(27, 38.9187)	(28, 38.9244)	(29, 38.8699)	(30, 38.7854)	(31, 38.7491)	(32, 38.7074)	(33, 38.6615)	(34, 38.6226)	(35, 38.5617)	(36, 38.4317)	(37, 38.392)	(38, 38.3239)	(39, 38.4495)	(40, 38.4751)	(41, 38.4524)	(42, 38.4194)	(43, 38.329)	(44, 38.3246)	(45, 38.2002)	(46, 38.2047)	(47, 38.1646)	(48, 38.0363)	(49, 38.0062)	(50, 37.9307)	(51, 37.8137)	(52, 37.653)	(53, 37.5744)	(54, 37.4765)	(55, 37.3728)	(56, 37.2676)	(57, 37.1183)	(58, 37.0263)	(59, 37.1165)	(60, 36.9636)	(61, 36.8653)	(62, 36.7648)	(63, 36.6202)	(64, 36.3589)	(65, 36.2481)	(66, 36.0844)	(67, 35.9331)	(68, 35.7485)	(69, 35.4181)	(70, 35.3157)	(71, 35.1834)	(72, 34.9871)	(73, 34.8078)	(74, 34.6328)	(75, 34.444)	(76, 32.8876)	(77, 33.5069)	(78, 33.8423)	(79, 33.8976)	(80, 33.7804)	(81, 33.7151)	(82, 33.6359)	(83, 33.5042)	(84, 33.3812)	(85, 33.233)	(86, 33.1458)	(87, 33.0837)	(88, 32.9424)	(89, 32.7989)	(90, 32.7667)	(91, 32.6995)	(92, 32.6431)	(93, 32.5033)	(94, 32.4427)	(95, 32.3503)	(96, 32.2875)	(97, 32.2197)	(98, 32.1194)	(99, 31.9971)	(100, 31.914)
SRR1552453	(1, 32.8627)	(2, 33.0278)	(3, 33.0886)	(4, 36.4308)	(5, 36.3568)	(6, 36.3495)	(7, 36.2081)	(8, 36.2877)	(9, 38.064)	(10, 37.3059)	(11, 37.7561)	(12, 37.8998)	(13, 37.9434)	(14, 39.4505)	(15, 39.5016)	(16, 39.5246)	(17, 39.5455)	(18, 39.5261)	(19, 39.4989)	(20, 39.4806)	(21, 39.4274)	(22, 39.3121)	(23, 39.3475)	(24, 39.3746)	(25, 39.3295)	(26, 39.2952)	(27, 39.2069)	(28, 39.1798)	(29, 39.0773)	(30, 39.049)	(31, 38.9947)	(32, 38.9574)	(33, 38.8566)	(34, 38.7533)	(35, 38.6505)	(36, 38.4867)	(37, 38.4892)	(38, 38.3879)	(39, 38.6682)	(40, 38.772)	(41, 38.7716)	(42, 38.7236)	(43, 38.6951)	(44, 38.6399)	(45, 38.5417)	(46, 38.4565)	(47, 38.4211)	(48, 38.3501)	(49, 38.2186)	(50, 38.2024)	(51, 38.1217)	(52, 37.9832)	(53, 37.884)	(54, 37.7254)	(55, 37.6254)	(56, 37.5003)	(57, 37.3366)	(58, 37.1825)	(59, 37.2953)	(60, 37.1975)	(61, 37.0226)	(62, 36.8882)	(63, 36.713)	(64, 36.4831)	(65, 36.3107)	(66, 36.0981)	(67, 35.9646)	(68, 35.7524)	(69, 35.5381)	(70, 35.3742)	(71, 35.2214)	(72, 34.9643)	(73, 34.8105)	(74, 34.641)	(75, 34.4386)	(76, 33.2051)	(77, 33.6963)	(78, 33.8921)	(79, 33.8935)	(80, 33.787)	(81, 33.7129)	(82, 33.5388)	(83, 33.4277)	(84, 33.287)	(85, 33.1054)	(86, 32.9714)	(87, 32.8571)	(88, 32.7715)	(89, 32.6146)	(90, 32.5289)	(91, 32.4822)	(92, 32.3412)	(93, 32.211)	(94, 32.1305)	(95, 32.039)	(96, 31.925)	(97, 31.7534)	(98, 31.6345)	(99, 31.417)	(100, 31.3261)
