Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
SRR1552444	(1, 32.6756)	(2, 32.7996)	(3, 32.8633)	(4, 36.2836)	(5, 36.1696)	(6, 36.1058)	(7, 36.0958)	(8, 36.0635)	(9, 37.9171)	(10, 37.9149)	(11, 37.914)	(12, 37.7948)	(13, 37.8358)	(14, 39.305)	(15, 39.2423)	(16, 39.2451)	(17, 39.2741)	(18, 39.2908)	(19, 39.2802)	(20, 39.2367)	(21, 39.2402)	(22, 39.1629)	(23, 39.0495)	(24, 39.0575)	(25, 39.055)	(26, 38.9956)	(27, 38.9116)	(28, 38.8834)	(29, 38.7808)	(30, 38.6927)	(31, 38.6816)	(32, 38.6439)	(33, 38.5926)	(34, 38.5025)	(35, 38.4166)	(36, 38.3277)	(37, 38.2241)	(38, 38.2265)	(39, 38.4066)	(40, 38.4591)	(41, 38.4135)	(42, 38.3259)	(43, 38.2965)	(44, 38.2125)	(45, 38.1967)	(46, 38.0916)	(47, 38.0085)	(48, 37.833)	(49, 37.8357)	(50, 37.7687)	(51, 37.6475)	(52, 37.5492)	(53, 37.4414)	(54, 37.3502)	(55, 37.2635)	(56, 37.0566)	(57, 36.8721)	(58, 36.7194)	(59, 36.8166)	(60, 36.7212)	(61, 36.5676)	(62, 36.4001)	(63, 36.2906)	(64, 36.0843)	(65, 35.9523)	(66, 35.7826)	(67, 35.5783)	(68, 35.376)	(69, 35.1871)	(70, 35.0655)	(71, 34.8483)	(72, 34.6771)	(73, 34.4477)	(74, 34.3319)	(75, 34.1975)	(76, 32.7258)	(77, 33.2619)	(78, 33.5603)	(79, 33.5998)	(80, 33.5139)	(81, 33.4188)	(82, 33.3163)	(83, 33.2191)	(84, 33.1278)	(85, 32.9861)	(86, 32.8403)	(87, 32.8088)	(88, 32.7224)	(89, 32.599)	(90, 32.5002)	(91, 32.4116)	(92, 32.3462)	(93, 32.2282)	(94, 32.149)	(95, 32.0059)	(96, 31.983)	(97, 31.8449)	(98, 31.7709)	(99, 31.6838)	(100, 31.5658)
SRR1552445	(1, 32.1293)	(2, 32.6156)	(3, 32.8497)	(4, 36.2799)	(5, 36.2469)	(6, 36.2515)	(7, 36.1298)	(8, 36.1978)	(9, 37.9759)	(10, 38.0364)	(11, 37.987)	(12, 37.9643)	(13, 37.9796)	(14, 39.4926)	(15, 39.4597)	(16, 39.4646)	(17, 39.4443)	(18, 39.4544)	(19, 39.5016)	(20, 39.4371)	(21, 39.4187)	(22, 39.3572)	(23, 39.331)	(24, 39.3095)	(25, 39.2482)	(26, 39.1685)	(27, 39.0792)	(28, 38.9751)	(29, 38.9127)	(30, 38.8493)	(31, 38.8007)	(32, 38.7459)	(33, 38.6507)	(34, 38.608)	(35, 38.467)	(36, 38.3734)	(37, 38.2809)	(38, 38.153)	(39, 38.4759)	(40, 33.4819)	(41, 36.0257)	(42, 37.231)	(43, 37.7572)	(44, 37.9624)	(45, 37.9895)	(46, 37.9762)	(47, 37.9861)	(48, 37.8383)	(49, 37.7999)	(50, 37.7434)	(51, 37.5926)	(52, 37.4654)	(53, 37.3728)	(54, 37.1908)	(55, 37.0078)	(56, 36.939)	(57, 36.8066)	(58, 36.6062)	(59, 36.6998)	(60, 36.5671)	(61, 36.3351)	(62, 36.2245)	(63, 36.0472)	(64, 35.8274)	(65, 35.6807)	(66, 35.5346)	(67, 35.3462)	(68, 35.0703)	(69, 31.5811)	(70, 32.8659)	(71, 33.7374)	(72, 34.0146)	(73, 33.9871)	(74, 33.9364)	(75, 33.8527)	(76, 32.7051)	(77, 33.0944)	(78, 33.2972)	(79, 33.2875)	(80, 33.1815)	(81, 33.0356)	(82, 32.9444)	(83, 32.8081)	(84, 32.7199)	(85, 32.5925)	(86, 32.3904)	(87, 32.3431)	(88, 32.1976)	(89, 31.9973)	(90, 31.9545)	(91, 31.8505)	(92, 31.7297)	(93, 31.6043)	(94, 31.5321)	(95, 31.4204)	(96, 31.2551)	(97, 31.1434)	(98, 31.0066)	(99, 30.8537)	(100, 30.6391)
SRR1552446	(1, 31.5519)	(2, 32.164)	(3, 31.2343)	(4, 35.5993)	(5, 35.7814)	(6, 34.5036)	(7, 35.1426)	(8, 35.596)	(9, 37.4079)	(10, 37.5566)	(11, 37.5602)	(12, 37.5485)	(13, 37.5901)	(14, 38.9828)	(15, 38.9099)	(16, 38.9703)	(17, 38.9783)	(18, 38.9762)	(19, 39.0276)	(20, 38.9402)	(21, 38.9557)	(22, 38.8956)	(23, 38.8349)	(24, 38.8428)	(25, 38.6905)	(26, 38.5867)	(27, 38.4996)	(28, 38.3645)	(29, 38.3169)	(30, 38.3645)	(31, 38.2388)	(32, 38.237)	(33, 38.2496)	(34, 38.1606)	(35, 38.12)	(36, 37.9589)	(37, 37.9337)	(38, 37.7734)	(39, 37.9973)	(40, 35.4601)	(41, 36.7194)	(42, 37.3803)	(43, 37.5717)	(44, 37.6826)	(45, 37.6977)	(46, 37.6624)	(47, 37.5954)	(48, 37.5291)	(49, 37.4212)	(50, 37.2969)	(51, 37.17)	(52, 37.004)	(53, 36.966)	(54, 36.8119)	(55, 36.6952)	(56, 36.6187)	(57, 36.5108)	(58, 36.385)	(59, 36.4978)	(60, 36.4056)	(61, 36.1246)	(62, 35.9015)	(63, 35.6486)	(64, 35.4567)	(65, 35.397)	(66, 35.2772)	(67, 35.1025)	(68, 34.8925)	(69, 34.6242)	(70, 34.5753)	(71, 34.482)	(72, 34.2609)	(73, 34.0224)	(74, 33.9158)	(75, 33.7095)	(76, 32.3294)	(77, 32.804)	(78, 33.124)	(79, 33.0375)	(80, 32.938)	(81, 32.8499)	(82, 32.7995)	(83, 32.5674)	(84, 32.463)	(85, 32.3531)	(86, 32.1717)	(87, 32.0029)	(88, 31.8749)	(89, 31.8444)	(90, 31.7968)	(91, 31.6153)	(92, 31.5483)	(93, 31.4243)	(94, 31.3404)	(95, 31.2732)	(96, 31.1576)	(97, 31.046)	(98, 30.8417)	(99, 30.7374)	(100, 30.56)
SRR1552447	(1, 32.8113)	(2, 32.9393)	(3, 33.0066)	(4, 36.3034)	(5, 36.3022)	(6, 36.2933)	(7, 36.177)	(8, 36.2071)	(9, 38.0254)	(10, 38.0471)	(11, 38.0388)	(12, 37.971)	(13, 37.9978)	(14, 39.4839)	(15, 39.4718)	(16, 39.4568)	(17, 39.3992)	(18, 39.3991)	(19, 39.462)	(20, 39.4289)	(21, 39.4229)	(22, 39.4378)	(23, 39.3851)	(24, 39.3118)	(25, 39.2806)	(26, 39.1647)	(27, 39.1556)	(28, 39.1224)	(29, 39.023)	(30, 39.0036)	(31, 38.8595)	(32, 38.8088)	(33, 38.7329)	(34, 38.6836)	(35, 38.5757)	(36, 38.4712)	(37, 38.4739)	(38, 38.3706)	(39, 38.6287)	(40, 38.666)	(41, 38.6702)	(42, 38.6591)	(43, 38.5857)	(44, 38.4896)	(45, 38.4556)	(46, 38.4043)	(47, 38.2994)	(48, 38.2053)	(49, 38.1759)	(50, 38.118)	(51, 37.9804)	(52, 37.8944)	(53, 37.804)	(54, 37.6484)	(55, 37.5242)	(56, 37.4181)	(57, 37.3087)	(58, 37.1312)	(59, 37.2568)	(60, 37.1177)	(61, 36.9954)	(62, 36.8783)	(63, 36.7364)	(64, 36.5419)	(65, 36.3845)	(66, 36.2365)	(67, 36.0553)	(68, 35.7949)	(69, 32.7064)	(70, 33.8457)	(71, 34.4318)	(72, 34.6585)	(73, 34.6084)	(74, 34.5485)	(75, 34.4384)	(76, 33.2102)	(77, 33.6562)	(78, 33.8178)	(79, 33.7721)	(80, 33.663)	(81, 33.5473)	(82, 33.4356)	(83, 33.2871)	(84, 33.2054)	(85, 33.0871)	(86, 32.9141)	(87, 32.7959)	(88, 32.6922)	(89, 32.5436)	(90, 32.4817)	(91, 32.4152)	(92, 32.3188)	(93, 32.158)	(94, 32.0223)	(95, 31.9364)	(96, 31.8491)	(97, 31.6998)	(98, 31.6053)	(99, 31.4961)	(100, 31.3836)
SRR1552448	(1, 32.0953)	(2, 32.3254)	(3, 31.0151)	(4, 35.554)	(5, 35.7445)	(6, 35.8516)	(7, 35.8387)	(8, 35.8547)	(9, 37.5861)	(10, 37.5729)	(11, 37.6036)	(12, 37.5405)	(13, 37.5388)	(14, 38.9193)	(15, 37.1714)	(16, 37.879)	(17, 38.1954)	(18, 38.3785)	(19, 38.605)	(20, 38.7118)	(21, 38.744)	(22, 38.8036)	(23, 38.8302)	(24, 38.7848)	(25, 38.7143)	(26, 38.607)	(27, 38.629)	(28, 38.5909)	(29, 38.5709)	(30, 38.5141)	(31, 38.441)	(32, 38.3999)	(33, 38.2952)	(34, 38.2275)	(35, 38.1865)	(36, 38.0897)	(37, 38.0291)	(38, 37.9615)	(39, 38.1333)	(40, 38.1506)	(41, 38.1058)	(42, 38.0927)	(43, 38.0582)	(44, 37.9916)	(45, 37.9064)	(46, 37.8839)	(47, 37.851)	(48, 37.7905)	(49, 37.7164)	(50, 37.6782)	(51, 37.5679)	(52, 37.4734)	(53, 37.3564)	(54, 37.3073)	(55, 37.2315)	(56, 37.0782)	(57, 37.002)	(58, 36.9071)	(59, 37.0447)	(60, 37.006)	(61, 36.8499)	(62, 36.7502)	(63, 36.6576)	(64, 36.4364)	(65, 36.2847)	(66, 36.0979)	(67, 35.9724)	(68, 35.8353)	(69, 35.6875)	(70, 35.4892)	(71, 35.2798)	(72, 35.0579)	(73, 34.7345)	(74, 34.5261)	(75, 34.3777)	(76, 32.7606)	(77, 33.3398)	(78, 33.5744)	(79, 32.2184)	(80, 32.6049)	(81, 33.0034)	(82, 33.1363)	(83, 33.0905)	(84, 33.0323)	(85, 32.9385)	(86, 32.8309)	(87, 32.6299)	(88, 31.4132)	(89, 31.6659)	(90, 32.0343)	(91, 32.1383)	(92, 32.1429)	(93, 32.0823)	(94, 31.7589)	(95, 31.7462)	(96, 31.7708)	(97, 31.7405)	(98, 31.6596)	(99, 31.5725)	(100, 31.5127)
SRR1552449	(1, 32.1151)	(2, 32.3148)	(3, 31.2891)	(4, 35.6039)	(5, 35.729)	(6, 35.8176)	(7, 35.8175)	(8, 35.8253)	(9, 37.545)	(10, 37.5245)	(11, 37.5665)	(12, 37.479)	(13, 37.4957)	(14, 38.8296)	(15, 37.0659)	(16, 37.7648)	(17, 38.1317)	(18, 38.2917)	(19, 38.5472)	(20, 38.6671)	(21, 38.7037)	(22, 38.7759)	(23, 38.7828)	(24, 38.712)	(25, 38.6796)	(26, 38.5748)	(27, 38.5696)	(28, 38.5657)	(29, 38.5163)	(30, 38.4775)	(31, 38.4087)	(32, 38.348)	(33, 38.2548)	(34, 38.1458)	(35, 38.1225)	(36, 38.0299)	(37, 37.9816)	(38, 37.8998)	(39, 38.1038)	(40, 38.1233)	(41, 38.0969)	(42, 38.062)	(43, 38.0228)	(44, 37.9883)	(45, 37.9174)	(46, 37.8654)	(47, 37.7984)	(48, 37.773)	(49, 37.6906)	(50, 37.6286)	(51, 37.5227)	(52, 37.421)	(53, 37.3239)	(54, 37.2625)	(55, 37.1874)	(56, 37.0514)	(57, 36.9487)	(58, 36.8878)	(59, 37.0389)	(60, 36.9733)	(61, 36.8494)	(62, 36.7184)	(63, 36.6121)	(64, 36.4029)	(65, 36.2453)	(66, 36.0843)	(67, 35.9888)	(68, 35.7893)	(69, 35.6179)	(70, 35.4536)	(71, 35.2159)	(72, 35.017)	(73, 34.7048)	(74, 34.5828)	(75, 34.4261)	(76, 32.7958)	(77, 33.3628)	(78, 33.657)	(79, 33.0416)	(80, 33.1652)	(81, 33.3154)	(82, 33.294)	(83, 33.1944)	(84, 33.0933)	(85, 32.999)	(86, 32.8679)	(87, 32.7233)	(88, 32.6724)	(89, 32.5983)	(90, 32.5194)	(91, 32.418)	(92, 32.3334)	(93, 32.2214)	(94, 32.099)	(95, 32.0167)	(96, 31.9336)	(97, 31.8605)	(98, 31.7594)	(99, 31.681)	(100, 31.6048)
SRR1552450	(1, 30.9312)	(2, 31.8194)	(3, 26.9228)	(4, 33.7307)	(5, 34.9398)	(6, 35.3599)	(7, 35.5251)	(8, 35.6231)	(9, 37.42)	(10, 37.3547)	(11, 37.4018)	(12, 37.3681)	(13, 37.3263)	(14, 38.6792)	(15, 38.6495)	(16, 38.6233)	(17, 38.6993)	(18, 38.6033)	(19, 38.699)	(20, 38.6523)	(21, 38.6871)	(22, 38.0951)	(23, 38.2592)	(24, 38.4069)	(25, 38.3255)	(26, 38.3513)	(27, 38.2197)	(28, 38.2183)	(29, 38.2105)	(30, 38.1866)	(31, 37.9219)	(32, 37.9065)	(33, 37.9087)	(34, 37.9187)	(35, 37.8243)	(36, 37.7171)	(37, 37.7306)	(38, 37.6135)	(39, 37.7547)	(40, 37.7443)	(41, 37.7939)	(42, 37.6046)	(43, 37.6689)	(44, 37.6486)	(45, 37.5001)	(46, 37.4851)	(47, 37.4006)	(48, 37.2502)	(49, 37.2059)	(50, 37.0823)	(51, 36.9412)	(52, 36.726)	(53, 36.5869)	(54, 36.6503)	(55, 36.508)	(56, 36.317)	(57, 36.2033)	(58, 35.9762)	(59, 36.2015)	(60, 36.0613)	(61, 35.908)	(62, 35.8188)	(63, 35.6577)	(64, 35.4792)	(65, 35.2368)	(66, 35.157)	(67, 34.9869)	(68, 34.82)	(69, 34.5648)	(70, 34.4315)	(71, 34.2415)	(72, 33.9719)	(73, 33.8436)	(74, 33.6852)	(75, 33.4911)	(76, 32.0062)	(77, 32.5341)	(78, 32.8433)	(79, 32.8929)	(80, 32.8756)	(81, 32.8406)	(82, 32.7333)	(83, 32.5954)	(84, 32.4749)	(85, 32.3225)	(86, 32.2766)	(87, 32.2159)	(88, 32.0474)	(89, 32.0196)	(90, 31.8705)	(91, 31.7873)	(92, 31.736)	(93, 31.59)	(94, 31.4628)	(95, 31.3279)	(96, 31.2508)	(97, 31.0612)	(98, 30.8896)	(99, 30.4275)	(100, 30.4226)
SRR1552451	(1, 32.7088)	(2, 32.8554)	(3, 32.8719)	(4, 36.3059)	(5, 36.2052)	(6, 36.1736)	(7, 36.0685)	(8, 36.1357)	(9, 37.9384)	(10, 37.9616)	(11, 37.9299)	(12, 37.8673)	(13, 37.8095)	(14, 35.1097)	(15, 37.6501)	(16, 38.5043)	(17, 38.866)	(18, 39.0614)	(19, 39.1954)	(20, 39.2696)	(21, 39.2017)	(22, 39.2362)	(23, 39.1053)	(24, 39.1403)	(25, 39.1377)	(26, 39.0841)	(27, 39.0063)	(28, 38.9361)	(29, 38.8386)	(30, 38.7468)	(31, 38.734)	(32, 38.6075)	(33, 38.5267)	(34, 38.4802)	(35, 38.4688)	(36, 38.3522)	(37, 38.3619)	(38, 38.2455)	(39, 38.4168)	(40, 38.4668)	(41, 38.4039)	(42, 38.3633)	(43, 38.3335)	(44, 38.304)	(45, 38.2426)	(46, 38.1882)	(47, 38.1057)	(48, 38.0226)	(49, 37.9843)	(50, 37.8555)	(51, 37.7546)	(52, 37.6722)	(53, 37.5483)	(54, 37.434)	(55, 37.3055)	(56, 37.1557)	(57, 37.0094)	(58, 36.8188)	(59, 36.8478)	(60, 36.7459)	(61, 36.5175)	(62, 36.4285)	(63, 36.2982)	(64, 36.0693)	(65, 35.9905)	(66, 35.8671)	(67, 35.6176)	(68, 35.4419)	(69, 35.2142)	(70, 34.9945)	(71, 34.9406)	(72, 34.7708)	(73, 34.6084)	(74, 34.4708)	(75, 33.7765)	(76, 32.619)	(77, 33.3013)	(78, 33.6091)	(79, 33.6501)	(80, 33.5605)	(81, 33.4879)	(82, 33.3805)	(83, 33.2307)	(84, 33.1314)	(85, 33.0416)	(86, 32.97)	(87, 32.828)	(88, 32.7201)	(89, 32.6143)	(90, 32.4117)	(91, 32.3758)	(92, 32.2674)	(93, 32.1454)	(94, 32.1136)	(95, 32.008)	(96, 31.9407)	(97, 31.7829)	(98, 31.7003)	(99, 31.5849)	(100, 31.4907)
SRR1552452	(1, 32.5684)	(2, 32.7064)	(3, 32.7576)	(4, 36.2175)	(5, 36.1097)	(6, 36.0682)	(7, 36.0212)	(8, 36.0512)	(9, 37.8186)	(10, 37.7503)	(11, 37.7957)	(12, 37.7216)	(13, 37.6969)	(14, 39.1591)	(15, 39.1578)	(16, 39.0773)	(17, 39.1161)	(18, 39.0998)	(19, 39.1301)	(20, 39.0904)	(21, 39.0977)	(22, 39.051)	(23, 39.0367)	(24, 39.0046)	(25, 38.9072)	(26, 38.835)	(27, 38.7824)	(28, 38.7793)	(29, 38.7145)	(30, 38.6239)	(31, 38.581)	(32, 38.5312)	(33, 38.4757)	(34, 38.4245)	(35, 38.3587)	(36, 38.2221)	(37, 38.1736)	(38, 38.1003)	(39, 38.2228)	(40, 38.2437)	(41, 38.2128)	(42, 38.1732)	(43, 38.078)	(44, 38.0626)	(45, 37.9291)	(46, 37.9258)	(47, 37.8764)	(48, 37.7412)	(49, 37.705)	(50, 37.6236)	(51, 37.4967)	(52, 37.3272)	(53, 37.2354)	(54, 37.1275)	(55, 37.0125)	(56, 36.9007)	(57, 36.7407)	(58, 36.6387)	(59, 36.7188)	(60, 36.5547)	(61, 36.4447)	(62, 36.3386)	(63, 36.1885)	(64, 35.9253)	(65, 35.8115)	(66, 35.6474)	(67, 35.4946)	(68, 35.3088)	(69, 34.9782)	(70, 34.8741)	(71, 34.7415)	(72, 34.5461)	(73, 34.3685)	(74, 34.1957)	(75, 34.0087)	(76, 32.4723)	(77, 33.0833)	(78, 33.4139)	(79, 33.4678)	(80, 33.3521)	(81, 33.2874)	(82, 33.2093)	(83, 33.079)	(84, 32.9581)	(85, 32.8119)	(86, 32.7258)	(87, 32.6646)	(88, 32.5244)	(89, 32.3825)	(90, 32.3499)	(91, 32.2835)	(92, 32.2273)	(93, 32.0878)	(94, 32.0287)	(95, 31.9387)	(96, 31.8779)	(97, 31.8112)	(98, 31.7119)	(99, 31.5922)	(100, 31.509)
SRR1552453	(1, 32.814)	(2, 32.98)	(3, 33.0425)	(4, 36.3887)	(5, 36.3088)	(6, 36.3001)	(7, 36.1549)	(8, 36.2374)	(9, 37.9971)	(10, 37.2452)	(11, 37.6892)	(12, 37.8304)	(13, 37.8706)	(14, 39.3655)	(15, 39.4126)	(16, 39.4363)	(17, 39.4579)	(18, 39.434)	(19, 39.4021)	(20, 39.3808)	(21, 39.3208)	(22, 39.2025)	(23, 39.2303)	(24, 39.2475)	(25, 39.1952)	(26, 39.1451)	(27, 39.0418)	(28, 39.0023)	(29, 38.8919)	(30, 38.8561)	(31, 38.7875)	(32, 38.7379)	(33, 38.6249)	(34, 38.5077)	(35, 38.3954)	(36, 38.2205)	(37, 38.2129)	(38, 38.1031)	(39, 38.3717)	(40, 38.4669)	(41, 38.4595)	(42, 38.4002)	(43, 38.3664)	(44, 38.3007)	(45, 38.1867)	(46, 38.0899)	(47, 38.0446)	(48, 37.9619)	(49, 37.8201)	(50, 37.7886)	(51, 37.699)	(52, 37.5461)	(53, 37.4348)	(54, 37.264)	(55, 37.1526)	(56, 37.0158)	(57, 36.8364)	(58, 36.6727)	(59, 36.7699)	(60, 36.656)	(61, 36.4723)	(62, 36.33)	(63, 36.1512)	(64, 35.9171)	(65, 35.7448)	(66, 35.5314)	(67, 35.3968)	(68, 35.184)	(69, 34.9699)	(70, 34.8061)	(71, 34.6541)	(72, 34.4)	(73, 34.2479)	(74, 34.0807)	(75, 33.8815)	(76, 32.6689)	(77, 33.1516)	(78, 33.3438)	(79, 33.3453)	(80, 33.2404)	(81, 33.167)	(82, 32.9958)	(83, 32.8864)	(84, 32.7484)	(85, 32.5698)	(86, 32.4372)	(87, 32.3239)	(88, 32.2398)	(89, 32.0852)	(90, 32.0012)	(91, 31.9549)	(92, 31.8141)	(93, 31.6856)	(94, 31.6064)	(95, 31.5169)	(96, 31.4066)	(97, 31.238)	(98, 31.1213)	(99, 30.9083)	(100, 30.8195)
