.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR1552444	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR1552445	1	1	1	1	0.25	1	1	0.5	1	1	1
SRR1552446	1	1	1	1	0.25	0.5	1	1	1	1	1
SRR1552447	1	1	1	1	0.25	0.5	1	1	1	1	1
SRR1552448	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR1552449	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
SRR1552450	1	1	1	1	0.25	0.5	1	1	1	1	1
SRR1552451	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR1552452	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR1552453	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR1552454	1	1	1	1	0.25	0.5	1	0.5	1	1	1
SRR1552455	1	1	1	1	0.25	0.5	1	0.5	1	1	1
