Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
SRR1552444 - polya	(1, 0.002365144527224503)	(2, 0.0043924112648455055)	(3, 0.004730289054449006)	(4, 0.005406044633656007)	(5, 0.006081800212863008)	(6, 0.007095433581673509)	(7, 0.010136333688105013)	(8, 0.012163600425726015)	(9, 0.014866622742554018)	(10, 0.017907522848985523)	(12, 0.019765850691804775)	(14, 0.02331356748264153)	(16, 0.028212795431892285)	(18, 0.030409001064315037)	(20, 0.03260520669673779)	(22, 0.035815045697971046)	(24, 0.03986957917321305)	(26, 0.04341729596404981)	(28, 0.046965012754886556)	(30, 0.05118848512493031)	(32, 0.05524301860017232)	(34, 0.05743922423259507)	(36, 0.06233845218184583)	(38, 0.06740661902589834)	(40, 0.07027858023752809)	(42, 0.07382629702836485)	(44, 0.07872552497761559)	(46, 0.08430050850607335)	(48, 0.0885239808761171)	(50, 0.09494365887858361)	(52, 0.09984288682783438)	(54, 0.10676938151470614)	(56, 0.11268224283276738)	(58, 0.11775040967681989)	(60, 0.12298751541567415)	(62, 0.12873143783893365)	(64, 0.13363066578818442)	(66, 0.13988140489584916)	(68, 0.14680789958272095)	(70, 0.15322757758518746)	(72, 0.15998513337725745)	(74, 0.1686010170121467)	(76, 0.17468281722500972)	(78, 0.18144037301707971)	(80, 0.18836686770395147)	(82, 0.19732062912844422)	(84, 0.2025577348672985)	(86, 0.2093152906593685)	(88, 0.21590390755663677)
SRR1552445 - polya	(1, 0.0023778143130834136)	(2, 0.004755628626166827)	(3, 0.005095316385178744)	(4, 0.005774691903202576)	(5, 0.006454067421226409)	(6, 0.007473130698262157)	(7, 0.007473130698262157)	(8, 0.010530320529369403)	(9, 0.013927198119488567)	(10, 0.01630501243257198)	(12, 0.018682826745655395)	(14, 0.021230484938244767)	(16, 0.02547658192589372)	(18, 0.02802424011848309)	(20, 0.03091158607008438)	(22, 0.0344783075397095)	(24, 0.041102218840441865)	(26, 0.04653722298463253)	(28, 0.049934100574751686)	(30, 0.0523119148878351)	(32, 0.05519926083943639)	(34, 0.05842629455004959)	(36, 0.06199301601967472)	(38, 0.0669184885253475)	(40, 0.07167411715151434)	(42, 0.07609005801866925)	(44, 0.07846787233175265)	(46, 0.08305365707841353)	(48, 0.08899819286112207)	(50, 0.0940935092463008)	(52, 0.10003804502900934)	(54, 0.1063222685707298)	(56, 0.11243664823294428)	(58, 0.11990977893120644)	(60, 0.12551462695490306)	(62, 0.12993056782205797)	(64, 0.133836977050695)	(66, 0.13842276179735588)	(68, 0.14368792206204056)	(70, 0.15251980379635038)	(72, 0.15914371509708275)	(74, 0.166277158036333)	(76, 0.1706930989034879)	(78, 0.1764677908066905)	(80, 0.186488579697542)	(82, 0.19566014919086377)	(84, 0.202793592130114)	(86, 0.21077625446689402)	(88, 0.2197779800807098)
SRR1552446 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00016979716031229094)	(12, 0.0013583772824983275)	(14, 0.002207363084059782)	(16, 0.002377160244372073)	(18, 0.003226146045933528)	(20, 0.004075131847494982)	(22, 0.004414726168119564)	(24, 0.004584523328431855)	(26, 0.00543350912999331)	(28, 0.005773103450617892)	(30, 0.006452292091867056)	(32, 0.006452292091867056)	(34, 0.008320060855302257)	(36, 0.009848235298112875)	(38, 0.010187829618737456)	(40, 0.01069722109967433)	(42, 0.01086701825998662)	(44, 0.011206612580611203)	(46, 0.012225395542484948)	(48, 0.012564989863109529)	(50, 0.012564989863109529)	(52, 0.013413975664670983)	(54, 0.013923367145607856)	(56, 0.014942150107481601)	(58, 0.015960933069355348)	(60, 0.017149513191541385)	(62, 0.019017281954976584)	(64, 0.02020586207716262)	(66, 0.022243428000910115)	(68, 0.026318559848405094)	(70, 0.02886551725308946)	(72, 0.03226146045933528)	(74, 0.03650638946714255)	(76, 0.03820436107026546)	(78, 0.04193989859713586)	(80, 0.04822239352869063)	(82, 0.05773103450617892)	(84, 0.07233359029303593)	(86, 0.09423742397332147)	(88, 0.12021638950110197)
SRR1552446 - polya	(1, 0.002377160244372073)	(2, 0.003395943206245819)	(3, 0.0037355375268704008)	(4, 0.004075131847494982)	(5, 0.004075131847494982)	(6, 0.004414726168119564)	(7, 0.005093914809368728)	(8, 0.006112697771242474)	(9, 0.008829452336239128)	(10, 0.012225395542484948)	(12, 0.013583772824983275)	(14, 0.01426296146623244)	(16, 0.01630052738997993)	(18, 0.01986626775653804)	(20, 0.021903833680285534)	(22, 0.025469574046843642)	(24, 0.028186328611840297)	(26, 0.030223894535587784)	(28, 0.032940649100584446)	(30, 0.03633659230683026)	(32, 0.03888354971151463)	(34, 0.04261908723838502)	(36, 0.045845233284318554)	(38, 0.04771300204775375)	(40, 0.051108945253999574)	(42, 0.05467468562055768)	(44, 0.05858002030774037)	(46, 0.06299474647585994)	(48, 0.06825845844554096)	(50, 0.07352217041522198)	(52, 0.07776709942302926)	(54, 0.08269121707208568)	(56, 0.08914350916395275)	(58, 0.09440722113363376)	(60, 0.09950113594300249)	(62, 0.10561383371424496)	(64, 0.11274531444736119)	(66, 0.11868821505829136)	(68, 0.12327273838672323)	(70, 0.12887604467702882)	(72, 0.1332907708451484)	(74, 0.13634711973076963)	(76, 0.14076184589888918)	(78, 0.14619535502888248)	(80, 0.15247784996043726)	(82, 0.15723217044918142)	(84, 0.16181669377761326)	(86, 0.1665710142663574)	(88, 0.17183472623603843)
SRR1552447 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.000844563208799673)	(16, 0.0013513011340794768)	(18, 0.0018580390593592806)	(20, 0.002871514909918888)	(22, 0.0038849907604784958)	(24, 0.004391728685758299)	(26, 0.004729553969278169)	(28, 0.005911942461597711)	(30, 0.006418680386877515)	(32, 0.006925418312157318)	(34, 0.007432156237437123)	(36, 0.008276719446236796)	(38, 0.009628020580316272)	(40, 0.01064149643087588)	(42, 0.011654972281435486)	(44, 0.012330622848475225)	(46, 0.013681923982554703)	(48, 0.015033225116634179)	(50, 0.016046700967193787)	(52, 0.017229089459513326)	(54, 0.01874930323535274)	(56, 0.019762779085912348)	(58, 0.0219586434287915)	(60, 0.022634293995831237)	(62, 0.023985595129910713)	(64, 0.026350372114549797)	(66, 0.02939079966622862)	(68, 0.03496491684430646)	(70, 0.03783643175422535)	(72, 0.04104577194766411)	(74, 0.04763336497630156)	(76, 0.054558783288458874)	(78, 0.06232876480941586)	(80, 0.07313917388205168)	(82, 0.08479414616348717)	(84, 0.10624605166699885)	(86, 0.13006273415514963)	(88, 0.15827114532905873)
SRR1552447 - polya	(1, 0.0006756505670397384)	(2, 0.0013513011340794768)	(3, 0.001689126417599346)	(4, 0.002026951701119215)	(5, 0.002026951701119215)	(6, 0.0023647769846390845)	(7, 0.004391728685758299)	(8, 0.005067379252798038)	(9, 0.00810780680447686)	(10, 0.009628020580316272)	(12, 0.012668448131995094)	(14, 0.015202137758394114)	(16, 0.017398002101273263)	(18, 0.019256041160632544)	(20, 0.021620818145271628)	(22, 0.02601254683102993)	(24, 0.029559712307988553)	(26, 0.032937965143187246)	(28, 0.035978392694866065)	(30, 0.0400322960971045)	(32, 0.043241636290543256)	(34, 0.04594423855870221)	(36, 0.04966031667742077)	(38, 0.0532074821543794)	(40, 0.057092472914857896)	(42, 0.061315288958856254)	(44, 0.06587593028637449)	(46, 0.06992983368861291)	(48, 0.07449047501613115)	(50, 0.08023350483596893)	(52, 0.08378067031292756)	(54, 0.08884804956572559)	(56, 0.09408434146028358)	(58, 0.09678694372844251)	(60, 0.10050302184716109)	(62, 0.10371236204059983)	(64, 0.11367820790443597)	(66, 0.11705646073963467)	(68, 0.12094145150011318)	(70, 0.1268533939617109)	(72, 0.13158294793098907)	(74, 0.13614358925850728)	(76, 0.14070423058602552)	(78, 0.14610943512234342)	(80, 0.1528659407927408)	(82, 0.15776440740377892)	(84, 0.1645209130741763)	(86, 0.17043285553577403)	(88, 0.17600697271385185)
SRR1552448 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0003372544787394777)	(5, 0.0003372544787394777)	(6, 0.0006745089574789554)	(7, 0.001011763436218433)	(8, 0.001011763436218433)	(9, 0.0016862723936973882)	(10, 0.002529408590546083)	(12, 0.0033725447873947764)	(14, 0.004721562702352688)	(16, 0.0060705806173105975)	(18, 0.006913716814159292)	(20, 0.007756853011007986)	(22, 0.00893724368659616)	(24, 0.009949007122814591)	(26, 0.01011763436218433)	(28, 0.010286261601554068)	(30, 0.011298025037772502)	(32, 0.012647042952730413)	(34, 0.013658806388948844)	(36, 0.013996060867688323)	(38, 0.016019587740125192)	(40, 0.016862723936973883)	(42, 0.017705860133822575)	(44, 0.020572523203108137)	(46, 0.02124703216058709)	(48, 0.022427422836175263)	(50, 0.02428232246924239)	(52, 0.026137222102309517)	(54, 0.02748624001726743)	(56, 0.029847021368443773)	(58, 0.03187054824088064)	(60, 0.033894075113317504)	(62, 0.03608622922512411)	(64, 0.03878426505503993)	(66, 0.04299994603928341)	(68, 0.04856464493848478)	(70, 0.054297971077055904)	(72, 0.05969404273688755)	(74, 0.07099206777466005)	(76, 0.0799293114612562)	(78, 0.09156459097776819)	(80, 0.10893319663285128)	(82, 0.13625080941074896)	(84, 0.169807630045327)	(86, 0.21010954025469458)	(88, 0.25833693071443986)
SRR1552449 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00033725220394315275)	(12, 0.0008431305098578819)	(14, 0.0015176349177441874)	(16, 0.002529391529573646)	(18, 0.0037097742433746805)	(20, 0.004552904753232563)	(22, 0.005733287467033597)	(24, 0.00607053967097675)	(26, 0.006745044078863055)	(28, 0.007250922384777784)	(30, 0.00792542679266409)	(32, 0.009105809506465124)	(34, 0.010623444424209313)	(36, 0.011466574934067194)	(38, 0.013827340361669264)	(40, 0.014501844769555568)	(42, 0.014670470871527145)	(44, 0.017537114605043945)	(46, 0.01821161901293025)	(48, 0.01905474952278813)	(50, 0.01956062782870286)	(52, 0.020403758338560743)	(54, 0.020909636644475472)	(56, 0.022595897664191233)	(58, 0.023607654276020695)	(60, 0.026474298009537493)	(62, 0.028160559029253254)	(64, 0.031195828864741627)	(66, 0.03608598582191734)	(68, 0.04013301226923518)	(70, 0.04350553430866671)	(72, 0.04890156957175715)	(74, 0.05547798754864863)	(76, 0.06424654485117061)	(78, 0.07183471943989153)	(80, 0.08852870353507761)	(82, 0.11129322730124042)	(84, 0.1440066910837262)	(86, 0.18548871216873403)	(88, 0.23304127292471855)
SRR1552450 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0003385320572931654)	(5, 0.0003385320572931654)	(6, 0.0003385320572931654)	(7, 0.0003385320572931654)	(8, 0.0013541282291726615)	(9, 0.0013541282291726615)	(10, 0.0016926602864658269)	(12, 0.0025389904296987406)	(14, 0.0033853205729316538)	(16, 0.0033853205729316538)	(18, 0.003893118658871402)	(20, 0.00440091674481115)	(22, 0.004570182773457733)	(24, 0.004908714830750898)	(26, 0.006093577031276977)	(28, 0.007447705260449638)	(30, 0.008971099518268882)	(32, 0.009817429661501795)	(34, 0.011171557890674456)	(36, 0.012864218177140285)	(38, 0.014387612434959528)	(40, 0.016249538750071936)	(42, 0.0176036669792446)	(44, 0.018619263151124096)	(46, 0.019465593294357007)	(48, 0.020481189466236505)	(50, 0.02132751960946942)	(52, 0.02285091386728866)	(54, 0.023527977981874993)	(56, 0.028098160755332724)	(58, 0.031144949270971216)	(60, 0.033176141614730204)	(62, 0.03571513204442894)	(64, 0.038761920560067435)	(66, 0.04096237893247301)	(68, 0.04570182773457733)	(70, 0.05111834065126797)	(72, 0.05467292725284621)	(74, 0.06093577031276977)	(76, 0.06702934734404675)	(78, 0.07396925451855663)	(80, 0.08158622580765285)	(82, 0.09326558178426705)	(84, 0.10849952436245949)	(86, 0.12288713679741903)	(88, 0.1408293358339568)
SRR1552450 - polya	(1, 0.0023697244010521578)	(2, 0.0030467885156384884)	(3, 0.0030467885156384884)	(4, 0.00440091674481115)	(5, 0.0047394488021043155)	(6, 0.00507798085939748)	(7, 0.005416512916690646)	(8, 0.0067706411458633075)	(9, 0.010833025833381292)	(10, 0.014218346406312945)	(12, 0.016418804778718522)	(14, 0.02014265740894334)	(16, 0.02335871195322841)	(18, 0.026405500468866902)	(20, 0.03182201338555755)	(22, 0.03503806792984261)	(24, 0.03842338850277427)	(26, 0.04350136936217175)	(28, 0.04739448802104315)	(30, 0.05145687270856114)	(32, 0.05467292725284621)	(34, 0.05822751385442444)	(36, 0.061443568398709514)	(38, 0.066521549258107)	(40, 0.07075319997427157)	(42, 0.0751541167190827)	(44, 0.07887796934930753)	(46, 0.08531007843787768)	(48, 0.0929270497269739)	(50, 0.09902062675825088)	(52, 0.10392934158900177)	(54, 0.10883805641975267)	(56, 0.11374677125050356)	(58, 0.12068667842501346)	(60, 0.12559539325576435)	(62, 0.13236603440162767)	(64, 0.14709217889388035)	(66, 0.15284722386786415)	(68, 0.15775593869861507)	(70, 0.16588070807365105)	(72, 0.17163575304763484)	(74, 0.17908345830808448)	(76, 0.18805455782635336)	(78, 0.19651785925868248)	(80, 0.2053196927483048)	(82, 0.2142907922665737)	(84, 0.22224629561296305)	(86, 0.22715501044371397)	(88, 0.2337563855609307)
