Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR1552444	(1, 0.035139290118764044)	(2, 0.0)	(3, 0.0)	(4, 0.003040900106431504)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0059165496035066545)	(62, 0.0)	(64, 0.003381337048295637)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.02012960760797674)	(74, 0.0)	(76, 0.010831797418308784)	(78, 0.0)	(80, 0.01744538578014749)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.00034167942269844743)	(94, 0.005314370744217622)	(96, 0.0003441961642779453)	(98, 0.022889044924483362)	(100, 0.0017209808213897264)
SRR1552445	(1, 0.07710912129570499)	(2, 0.0)	(3, 0.0)	(4, 0.016644700191583896)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0005095316385178744)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.006626207159022176)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0003398978946724404)	(74, 0.0)	(76, 0.00016998736993841359)	(78, 0.0)	(80, 0.00017005588036228707)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.00017039868179579763)	(90, 0.0)	(92, 0.0)	(94, 0.006847978305604728)	(96, 0.005837791803740308)	(98, 0.024037966250695385)	(100, 0.0)
SRR1552446	(1, 0.10731180531736786)	(2, 0.0)	(3, 0.0)	(4, 0.012904584183734113)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0016979716031229094)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0018677687634352004)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.015960933069355348)	(74, 0.0)	(76, 0.008320060855302257)	(78, 0.0)	(80, 0.009169046656863711)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0018677687634352004)	(96, 0.004075131847494982)	(98, 0.050259959452438115)	(100, 0.019696470596225747)
SRR1552447	(1, 0.03783643175422535)	(2, 0.0)	(3, 0.0)	(4, 0.011148234356155683)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.000844563208799673)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0023647769846390845)	(62, 0.0)	(64, 0.000844563208799673)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0005067379252798038)	(90, 0.0)	(92, 0.0)	(94, 0.0023647769846390845)	(96, 0.0)	(98, 0.018073652668313)	(100, 0.0)
SRR1552448	(1, 0.19088603496654435)	(2, 0.0)	(3, 0.0)	(4, 0.016525469458234406)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0038784265055039928)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0015176451543276494)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.04772150874163609)	(74, 0.0)	(76, 0.02917251241096482)	(78, 0.0)	(80, 0.023439186272393695)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.002023526872436866)	(96, 0.006913716814159292)	(98, 0.06846265918411396)	(100, 0.001011763436218433)
SRR1552449	(1, 0.17773191147804152)	(2, 0.0)	(3, 0.0)	(4, 0.020235132236589164)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.005058783059147291)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0028666437335167984)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.04940744787767189)	(74, 0.0)	(76, 0.031533081068684785)	(78, 0.0)	(80, 0.022595897664191233)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0033725220394315277)	(96, 0.007419548486749361)	(98, 0.06441517095314218)	(100, 0.0037097742433746805)
SRR1552450	(1, 0.1076531942192266)	(2, 0.0)	(3, 0.0)	(4, 0.011171557890674458)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0008463301432329135)	(36, 0.005585778945337229)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0030467885156384884)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0001692660286465827)	(92, 0.0003385320572931654)	(94, 0.0)	(96, 0.0)	(98, 0.08683347269569693)	(100, 0.04570182773457732)
SRR1552451	(1, 0.032744826654964046)	(2, 0.0)	(3, 0.0)	(4, 0.0020254531951524155)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0042202497712624625)	(38, 0.0005064402316119993)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.00422101932551488)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0033778020979528833)	(74, 0.0006756437195538049)	(76, 0.0)	(78, 0.0)	(80, 0.005914599936460298)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0006778408734657496)	(92, 0.004073686193768278)	(94, 0.0)	(96, 0.0)	(98, 0.0177427169558957)	(100, 0.002388442667139806)
SRR1552452	(1, 0.1831464698686887)	(2, 0.0)	(3, 0.0)	(4, 0.017909156647676203)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.003210489853162332)	(36, 0.014024866256847682)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.011999790426195374)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0030582702423509263)	(94, 0.0)	(96, 0.0)	(98, 0.10687992569625614)	(100, 0.036878696406375915)
SRR1552453	(1, 0.06003642888396688)	(2, 0.0)	(3, 0.0)	(4, 0.009497288185034309)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0013567554550049012)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.005766817056209505)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.005428632985391888)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0010221238711919497)	(92, 0.004948180605179551)	(94, 0.0)	(96, 0.0)	(98, 0.02195555372592608)	(100, 0.0)
