Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
SRR1552444	(1, 32.715898839389794)	(2, 32.84085956109675)	(3, 32.90261010592469)	(4, 36.31996688797662)	(5, 36.21246431165847)	(6, 36.15309242646934)	(7, 36.1425641545453)	(8, 36.112513303937966)	(9, 37.975297754802085)	(10, 37.975927896879696)	(12, 37.87972902201274)	(14, 39.35011403375399)	(16, 39.33826416386057)	(18, 39.36563892635614)	(20, 39.32233165178495)	(22, 39.19973027134639)	(24, 39.158465799264825)	(26, 39.075281491423105)	(28, 38.97359811629131)	(30, 38.84624234665903)	(32, 38.79484196024501)	(34, 38.65356682623302)	(36, 38.485949163712945)	(38, 38.53949241739839)	(40, 38.674264850592635)	(42, 38.56332345991703)	(44, 38.4723736983757)	(46, 38.33559935627332)	(48, 38.140552678711614)	(50, 38.0292115048326)	(52, 37.83436815411888)	(54, 37.662826239636566)	(56, 37.341003958005345)	(58, 37.164925780637915)	(60, 37.0628157378965)	(62, 36.77412988069192)	(64, 36.45606857882029)	(66, 36.121446453843674)	(68, 35.723630815587605)	(70, 35.401222367140456)	(72, 35.003430789587995)	(74, 34.7036634148662)	(76, 33.41711966773141)	(78, 34.01182886915633)	(80, 33.897540592082564)	(82, 33.69624274688966)	(84, 33.48252496139581)	(86, 33.24759896214671)	(88, 33.081602265218606)	(90, 32.87540334922032)	(92, 32.705378248187934)	(94, 32.49180743422715)	(96, 32.326425316316275)	(98, 32.136521966599204)	(100, 31.972151088348273)
SRR1552445	(1, 32.17989184341753)	(2, 32.6652920635352)	(3, 32.898868160386975)	(4, 36.324289712895904)	(5, 36.299682731633084)	(6, 36.30704716224846)	(7, 36.18689960188595)	(8, 36.254229112599695)	(9, 38.045908800630464)	(10, 38.08571341223148)	(12, 38.050243216435454)	(14, 39.56946274984035)	(16, 39.55146640943872)	(18, 39.57783195307464)	(20, 39.53599960538406)	(22, 39.46515379851637)	(24, 39.41728815043209)	(26, 39.2916267560212)	(28, 39.137601833383656)	(30, 39.042006814854076)	(32, 38.93643476877379)	(34, 38.796845241122114)	(36, 38.615318548875194)	(38, 38.62633349188014)	(40, 35.05211619202804)	(42, 37.84245374597454)	(44, 38.35003144436803)	(46, 38.38101297218692)	(48, 38.245125578057795)	(50, 38.11921329722714)	(52, 37.89545898185532)	(54, 37.60334036675739)	(56, 37.400386934757826)	(58, 37.20672327438916)	(60, 37.03895928429377)	(62, 36.73921251105709)	(64, 36.36661472966824)	(66, 36.054669433754825)	(68, 33.907901321293004)	(70, 33.888553732065006)	(72, 34.602021773923425)	(74, 34.49566498407772)	(76, 33.4834861556237)	(78, 33.88411512677192)	(80, 33.69695972567726)	(82, 33.46061291390569)	(84, 33.236892690549006)	(86, 32.942867682430126)	(88, 32.67092986849791)	(90, 32.47360738960554)	(92, 32.23476668721986)	(94, 32.04111630422774)	(96, 31.756400967013043)	(98, 31.480271697698537)	(100, 31.18425444530676)
SRR1552446	(1, 31.604033022151736)	(2, 32.21613140941831)	(3, 31.29199678064584)	(4, 35.65210939012256)	(5, 35.84281876869891)	(6, 34.56555019373856)	(7, 35.21200533842272)	(8, 35.668189181204134)	(9, 37.49162051013859)	(10, 37.64431230452102)	(12, 37.65804549884707)	(14, 39.05343856229348)	(16, 39.081164740600876)	(18, 39.11223252702322)	(20, 39.063200201039834)	(22, 38.99067813589886)	(24, 38.908847790429554)	(26, 38.7149852785862)	(28, 38.54154596918521)	(30, 38.520523382766946)	(32, 38.4777616659139)	(34, 38.39399223687383)	(36, 38.221612461753196)	(38, 38.17868094773983)	(40, 36.38166156709195)	(42, 37.80920062892868)	(44, 38.04715267141873)	(46, 38.010561383371424)	(48, 37.87822996648204)	(50, 37.66418876010718)	(52, 37.445549446631055)	(54, 37.23741718143506)	(56, 37.071139916256044)	(58, 36.974567781328425)	(60, 36.82596979648112)	(62, 36.35493549405879)	(64, 36.016782751325266)	(66, 35.78728151350397)	(68, 35.357820347812506)	(70, 35.12895075542757)	(72, 34.74026467981349)	(74, 34.40532449935307)	(76, 33.13672067348346)	(78, 33.6606111339394)	(80, 33.47057585008949)	(82, 33.25549718306511)	(84, 32.97412291276841)	(86, 32.64681171872081)	(88, 32.414741449863996)	(90, 32.25833449361393)	(92, 32.03555382739779)	(94, 31.854303848622436)	(96, 31.645572199450534)	(98, 31.32747419932149)	(100, 31.093582006934515)
SRR1552447	(1, 32.85159335294972)	(2, 32.98035545976332)	(3, 33.04615031198165)	(4, 36.341298127434456)	(5, 36.341521092121575)	(6, 36.336251017698665)	(7, 36.22253564901305)	(8, 36.25295681579401)	(9, 38.08178074463449)	(10, 38.10004357946157)	(12, 38.04369432217046)	(14, 39.55083763779049)	(16, 39.506334224065995)	(18, 39.51371063913166)	(20, 39.512556965788434)	(22, 39.504182277009974)	(24, 39.40084152278125)	(26, 39.28622416058863)	(28, 39.21824357878592)	(30, 39.090001722908944)	(32, 38.94770802436396)	(34, 38.82127353375381)	(36, 38.681537172605076)	(38, 38.72081274006709)	(40, 38.90180939221853)	(42, 38.87260270733182)	(44, 38.73653006138285)	(46, 38.63484971842263)	(48, 38.49369280195668)	(50, 38.36967376212371)	(52, 38.19109593900227)	(54, 37.94600707406144)	(56, 37.73944380445322)	(58, 37.58988348405971)	(60, 37.472070294685)	(62, 37.23708240572141)	(64, 36.905408920614434)	(66, 36.59220096550466)	(68, 34.67698666603606)	(70, 34.56561242656523)	(72, 35.0684028634071)	(74, 34.92756181358125)	(76, 33.853493620169516)	(78, 34.22063200354041)	(80, 34.028326650023146)	(82, 33.78134258524177)	(84, 33.563266229971184)	(86, 33.26823665336761)	(88, 33.02920837401312)	(90, 32.85851539300904)	(92, 32.645698977402866)	(94, 32.38327460803822)	(96, 32.17549685653573)	(98, 31.948550898446342)	(100, 31.779085912347853)
SRR1552448	(1, 32.13596751564861)	(2, 32.36530393373624)	(3, 31.054001187135764)	(4, 35.59204686488236)	(5, 35.788076030649684)	(6, 35.89847291172027)	(7, 35.886203593783726)	(8, 35.90399714008202)	(9, 37.64573777789769)	(10, 37.648069892618174)	(12, 37.60240057737967)	(14, 38.11631063835528)	(16, 38.11144911504425)	(18, 38.56929736401899)	(20, 38.80838718163177)	(22, 38.901319339520825)	(24, 38.83912455482409)	(26, 38.73053367148715)	(28, 38.70773020990719)	(30, 38.61639326570257)	(32, 38.49674886682495)	(34, 38.36816385171595)	(36, 38.232503237642995)	(38, 38.23062304392403)	(40, 38.323025712281456)	(42, 38.28038156971725)	(44, 38.16916684653572)	(46, 38.101896381933955)	(48, 38.001657605763)	(50, 37.88845476742931)	(52, 37.699821592380744)	(54, 37.57164465519102)	(56, 37.35457249622275)	(58, 37.30702973235485)	(60, 37.27588259497086)	(62, 37.06639191668465)	(64, 36.731498219296356)	(66, 36.41148081696525)	(68, 36.13984425588171)	(70, 35.764512060220156)	(72, 35.277086593459956)	(74, 34.82834252913879)	(76, 33.411190778113536)	(78, 33.255841247571766)	(80, 33.16270167817829)	(82, 33.47483912961364)	(84, 33.34395235268724)	(86, 33.08503365799697)	(88, 31.879822739045974)	(90, 32.43293526063026)	(92, 32.46103530379884)	(94, 32.09844626861644)	(96, 32.10146300992877)	(98, 31.96007075598964)	(100, 31.85550669112886)
SRR1552449	(1, 32.15561491194345)	(2, 32.35406422630972)	(3, 31.32474014717686)	(4, 35.6401215456943)	(5, 35.77295844378343)	(6, 35.865173313907604)	(7, 35.86558138907438)	(8, 35.87496711791012)	(9, 37.60634236494735)	(10, 37.60640475660509)	(12, 37.5498290131326)	(14, 38.017375233547156)	(16, 38.02072583419333)	(18, 38.49695798512043)	(20, 38.76705315769239)	(22, 38.86396089223443)	(24, 38.788222478533896)	(26, 38.68447021051283)	(28, 38.66730070081008)	(30, 38.57788839650067)	(32, 38.44621839103719)	(34, 38.292336955422)	(36, 38.174662916422164)	(38, 38.18216677795989)	(40, 38.29868572816123)	(42, 38.243135231388734)	(44, 38.168884099907594)	(46, 38.06279804663524)	(48, 37.97678355828055)	(50, 37.83935497143474)	(52, 37.65334689087193)	(54, 37.523966827873224)	(56, 37.31339329677519)	(58, 37.293456632739094)	(60, 37.26195390436877)	(62, 37.02853490897563)	(64, 36.695677101249856)	(66, 36.41508664009119)	(68, 36.08319843245175)	(70, 35.71523435655652)	(72, 35.24177104622379)	(74, 34.88173239712121)	(76, 33.44123043094086)	(78, 33.71452106814518)	(80, 33.604425086167936)	(82, 33.607546355315435)	(84, 33.405996006933904)	(86, 33.1514970625333)	(88, 32.98897859797514)	(90, 32.820278300518694)	(92, 32.627955172437055)	(94, 32.40723878130544)	(96, 32.24447580889941)	(98, 32.065600612450005)	(100, 31.948845585705904)
SRR1552450	(1, 30.979136269309024)	(2, 31.867864167397332)	(3, 26.950635255405512)	(4, 33.772736659297955)	(5, 35.00044686231563)	(6, 35.4246850805537)	(7, 35.59124623806251)	(8, 35.690798360150715)	(9, 37.50294015091759)	(10, 37.46138872620543)	(12, 37.432376528895404)	(14, 38.76210336737837)	(16, 38.75930201460427)	(18, 38.75381440995555)	(20, 38.77607797070344)	(22, 38.28788258354125)	(24, 38.49024350610881)	(26, 38.43170792808225)	(28, 38.37961630776626)	(30, 38.23350587183853)	(32, 38.10470965798106)	(34, 38.0834566154242)	(36, 37.9509111590322)	(38, 37.926291415165565)	(40, 38.02982975222839)	(42, 37.91034316994647)	(44, 37.86130680144756)	(46, 37.7495556766748)	(48, 37.55545155098462)	(50, 37.36473613118794)	(52, 37.03023768335743)	(54, 36.973602962832565)	(56, 36.67797476582045)	(58, 36.52719935814322)	(60, 36.44853466399)	(62, 36.21703290193065)	(64, 35.849426018896864)	(66, 35.56910454885525)	(68, 35.189312204419195)	(70, 34.83375536996476)	(72, 34.40211853361454)	(74, 34.07932313900465)	(76, 32.741705118266175)	(78, 33.349185661136175)	(80, 33.3390533966614)	(82, 33.14228840900089)	(84, 32.872436042831076)	(86, 32.71766257155721)	(88, 32.501646958458736)	(90, 32.29380520188359)	(92, 32.1255039896003)	(94, 31.85371691272305)	(96, 31.610507019462208)	(98, 31.105239460650726)	(100, 30.865589231972322)
SRR1552451	(1, 32.7454883030078)	(2, 32.89183404786821)	(3, 32.90829760658947)	(4, 36.339152010262296)	(5, 36.242845086588126)	(6, 36.21591331060325)	(7, 36.110005738784054)	(8, 36.17797319650272)	(9, 37.9916855146339)	(10, 38.00057894203828)	(12, 37.8970057050265)	(14, 36.43883975289471)	(16, 38.754650646824736)	(18, 39.2007255747441)	(20, 39.31223151109455)	(22, 39.25726123681869)	(24, 39.23480600501656)	(26, 39.16123303476854)	(28, 39.02261045789858)	(30, 38.891199030404515)	(32, 38.73497673892385)	(34, 38.65517869725082)	(36, 38.55428931912702)	(38, 38.54421452435317)	(40, 38.660512637326775)	(42, 38.58726707340543)	(44, 38.52296782471194)	(46, 38.41123990450172)	(48, 38.28471405186617)	(50, 38.10565511393091)	(52, 37.92513775990974)	(54, 37.702826508576564)	(56, 37.434373393854)	(58, 37.204931464987474)	(60, 37.02237027976811)	(62, 36.766095260325855)	(64, 36.43965135457052)	(66, 36.15568410621175)	(68, 35.74279650105578)	(70, 35.38179181669401)	(72, 35.10262062807897)	(74, 34.53081725587837)	(76, 33.35381768666893)	(78, 34.03162892901623)	(80, 33.92563084515069)	(82, 33.704544927526555)	(84, 33.48350743020289)	(86, 33.293273620906234)	(88, 33.05848190481984)	(90, 32.78203555619018)	(92, 32.59428411773433)	(94, 32.445994369757585)	(96, 32.24257535536614)	(98, 32.021014883409876)	(100, 31.8674516681566)
SRR1552452	(1, 32.60939453534186)	(2, 32.74972798356413)	(3, 32.800120295467295)	(4, 36.25595226027073)	(5, 36.15653616635917)	(6, 36.11771722455379)	(7, 36.07355932661571)	(8, 36.101690218897204)	(9, 37.881850252417735)	(10, 37.83883448560171)	(12, 37.77767640519298)	(14, 39.240614588190766)	(16, 39.18066919927047)	(18, 39.20295688997265)	(20, 39.185021981772536)	(22, 39.14259379495725)	(24, 39.06486800665036)	(26, 38.9405229036511)	(28, 38.89714824862999)	(30, 38.76724668144584)	(32, 38.68441485437674)	(34, 38.5921679915897)	(36, 38.4118714578764)	(38, 38.38671063234999)	(40, 38.46376304878655)	(42, 38.37420829854092)	(44, 38.26242074629584)	(46, 38.18461913853165)	(48, 38.0212639964448)	(50, 37.87216832052306)	(52, 37.613721987504114)	(54, 37.4246648981953)	(56, 37.192914424292795)	(58, 37.07139536082627)	(60, 36.91443786498306)	(62, 36.69247516371024)	(64, 36.30349812811786)	(66, 36.00874986008902)	(68, 35.583312501325885)	(70, 35.24957473731624)	(72, 34.89745265243378)	(74, 34.538439116553576)	(76, 33.1972357205205)	(78, 33.86993126826674)	(80, 33.74774873390392)	(82, 33.57003533326356)	(84, 33.30713090944944)	(86, 33.114753800942744)	(88, 32.87064899938564)	(90, 32.733060541296894)	(92, 32.57322740939185)	(94, 32.39647624446384)	(96, 32.25356835534673)	(98, 32.05822224195157)	(100, 31.914011172879132)
SRR1552453	(1, 32.86265903717849)	(2, 33.02782366249351)	(3, 33.08861648254364)	(4, 36.43078681640724)	(5, 36.35680294144583)	(6, 36.34949681332063)	(7, 36.20811611113184)	(8, 36.28766607534742)	(9, 38.063981195369394)	(10, 37.53097642298208)	(12, 37.921565967146165)	(14, 39.47604309055325)	(16, 39.535049429296905)	(18, 39.512489991920845)	(20, 39.453990202932715)	(22, 39.329800597563725)	(24, 39.35204544216688)	(26, 39.25107987810131)	(28, 39.128524118403874)	(30, 39.0218420008209)	(32, 38.907002178739134)	(34, 38.701901413418256)	(36, 38.48799315609876)	(38, 38.5280441677833)	(40, 38.77180032088093)	(42, 38.709380214534846)	(44, 38.59077601560512)	(46, 38.43882194071344)	(48, 38.28431186781354)	(50, 38.16202852432099)	(52, 37.93361067715917)	(54, 37.67540965785646)	(56, 37.41849053935443)	(58, 37.23890643466372)	(60, 37.1100495242133)	(62, 36.80061648948664)	(64, 36.3968965372254)	(66, 36.03134802990485)	(68, 35.64524352460441)	(70, 35.29780660535888)	(72, 34.8873901492148)	(74, 34.539770364283655)	(76, 33.450701378310534)	(78, 33.89277490476654)	(80, 33.74995408925268)	(82, 33.48323948892536)	(84, 33.19620104235915)	(86, 32.91424834720404)	(88, 32.693044421074205)	(90, 32.50556964903334)	(92, 32.276111014289256)	(94, 32.0847546105729)	(96, 31.83919958284448)	(98, 31.525772046463437)	(100, 31.32607770893797)
