Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
SRR1552444	(16.0, 1.0)	(17.0, 22.0)	(18.0, 116.0)	(19.0, 299.0)	(20.0, 462.0)	(21.0, 520.0)	(22.0, 675.0)	(23.0, 868.0)	(24.0, 1024.0)	(25.0, 1436.0)	(26.0, 1836.0)	(27.0, 2415.0)	(28.0, 3107.0)	(29.0, 3747.0)	(30.0, 4776.0)	(31.0, 5837.0)	(32.0, 7332.0)	(33.0, 9590.0)	(34.0, 13308.0)	(35.0, 20379.0)	(36.0, 36001.0)	(37.0, 71922.0)	(38.0, 87713.0)	(39.0, 22479.0)	(40.0, 100.0)	
SRR1552445	(16.0, 3.0)	(17.0, 18.0)	(18.0, 104.0)	(19.0, 333.0)	(20.0, 543.0)	(21.0, 673.0)	(22.0, 801.0)	(23.0, 988.0)	(24.0, 1285.0)	(25.0, 1586.0)	(26.0, 1973.0)	(27.0, 2451.0)	(28.0, 2973.0)	(29.0, 3866.0)	(30.0, 4751.0)	(31.0, 5923.0)	(32.0, 7380.0)	(33.0, 9949.0)	(34.0, 14088.0)	(35.0, 22870.0)	(36.0, 42573.0)	(37.0, 79371.0)	(38.0, 75257.0)	(39.0, 14594.0)	(40.0, 35.0)	
SRR1552446	(16.0, 1.0)	(17.0, 24.0)	(18.0, 155.0)	(19.0, 432.0)	(20.0, 706.0)	(21.0, 792.0)	(22.0, 969.0)	(23.0, 1171.0)	(24.0, 1477.0)	(25.0, 1791.0)	(26.0, 2338.0)	(27.0, 3093.0)	(28.0, 3894.0)	(29.0, 4773.0)	(30.0, 5979.0)	(31.0, 7573.0)	(32.0, 9253.0)	(33.0, 11938.0)	(34.0, 16290.0)	(35.0, 23719.0)	(36.0, 39381.0)	(37.0, 67842.0)	(38.0, 75404.0)	(39.0, 15456.0)	(40.0, 18.0)	
SRR1552447	(17.0, 12.0)	(18.0, 101.0)	(19.0, 311.0)	(20.0, 439.0)	(21.0, 558.0)	(22.0, 720.0)	(23.0, 850.0)	(24.0, 1012.0)	(25.0, 1258.0)	(26.0, 1772.0)	(27.0, 2096.0)	(28.0, 2779.0)	(29.0, 3456.0)	(30.0, 4205.0)	(31.0, 5433.0)	(32.0, 6604.0)	(33.0, 8692.0)	(34.0, 12409.0)	(35.0, 19100.0)	(36.0, 35116.0)	(37.0, 71300.0)	(38.0, 94329.0)	(39.0, 23422.0)	(40.0, 37.0)		
SRR1552448	(16.0, 1.0)	(17.0, 21.0)	(18.0, 158.0)	(19.0, 414.0)	(20.0, 580.0)	(21.0, 699.0)	(22.0, 817.0)	(23.0, 934.0)	(24.0, 1242.0)	(25.0, 1554.0)	(26.0, 1960.0)	(27.0, 2616.0)	(28.0, 3356.0)	(29.0, 4410.0)	(30.0, 5585.0)	(31.0, 6986.0)	(32.0, 9058.0)	(33.0, 11923.0)	(34.0, 15947.0)	(35.0, 23052.0)	(36.0, 37325.0)	(37.0, 66460.0)	(38.0, 83704.0)	(39.0, 17704.0)	(40.0, 6.0)	
SRR1552449	(15.0, 1.0)	(16.0, 3.0)	(17.0, 27.0)	(18.0, 134.0)	(19.0, 350.0)	(20.0, 525.0)	(21.0, 610.0)	(22.0, 737.0)	(23.0, 884.0)	(24.0, 1193.0)	(25.0, 1546.0)	(26.0, 2051.0)	(27.0, 2651.0)	(28.0, 3391.0)	(29.0, 4413.0)	(30.0, 5554.0)	(31.0, 7165.0)	(32.0, 9022.0)	(33.0, 11848.0)	(34.0, 15828.0)	(35.0, 22737.0)	(36.0, 35951.0)	(37.0, 64177.0)	(38.0, 85848.0)	(39.0, 19857.0)	(40.0, 11.0)
SRR1552450	(16.0, 3.0)	(17.0, 21.0)	(18.0, 183.0)	(19.0, 455.0)	(20.0, 685.0)	(21.0, 786.0)	(22.0, 927.0)	(23.0, 1145.0)	(24.0, 1471.0)	(25.0, 1897.0)	(26.0, 2468.0)	(27.0, 3216.0)	(28.0, 4176.0)	(29.0, 5274.0)	(30.0, 6663.0)	(31.0, 8273.0)	(32.0, 10638.0)	(33.0, 13552.0)	(34.0, 18449.0)	(35.0, 26803.0)	(36.0, 44137.0)	(37.0, 71150.0)	(38.0, 62698.0)	(39.0, 10316.0)	(40.0, 7.0)	
SRR1552451	(16.0, 1.0)	(17.0, 18.0)	(18.0, 127.0)	(19.0, 311.0)	(20.0, 453.0)	(21.0, 533.0)	(22.0, 681.0)	(23.0, 871.0)	(24.0, 1185.0)	(25.0, 1458.0)	(26.0, 1800.0)	(27.0, 2393.0)	(28.0, 2911.0)	(29.0, 3696.0)	(30.0, 4646.0)	(31.0, 5799.0)	(32.0, 7311.0)	(33.0, 9704.0)	(34.0, 13644.0)	(35.0, 21720.0)	(36.0, 39359.0)	(37.0, 76905.0)	(38.0, 82438.0)	(39.0, 18221.0)	(40.0, 45.0)	
SRR1552452	(16.0, 2.0)	(17.0, 35.0)	(18.0, 149.0)	(19.0, 365.0)	(20.0, 489.0)	(21.0, 645.0)	(22.0, 746.0)	(23.0, 869.0)	(24.0, 1145.0)	(25.0, 1486.0)	(26.0, 1933.0)	(27.0, 2406.0)	(28.0, 3152.0)	(29.0, 3880.0)	(30.0, 5053.0)	(31.0, 6323.0)	(32.0, 7964.0)	(33.0, 10337.0)	(34.0, 14404.0)	(35.0, 21513.0)	(36.0, 37893.0)	(37.0, 72237.0)	(38.0, 83688.0)	(39.0, 19180.0)	(40.0, 44.0)	
SRR1552453	(16.0, 2.0)	(17.0, 11.0)	(18.0, 122.0)	(19.0, 336.0)	(20.0, 517.0)	(21.0, 670.0)	(22.0, 814.0)	(23.0, 1024.0)	(24.0, 1260.0)	(25.0, 1522.0)	(26.0, 1907.0)	(27.0, 2371.0)	(28.0, 2949.0)	(29.0, 3575.0)	(30.0, 4487.0)	(31.0, 5566.0)	(32.0, 6992.0)	(33.0, 9415.0)	(34.0, 12998.0)	(35.0, 20406.0)	(36.0, 37271.0)	(37.0, 74517.0)	(38.0, 85589.0)	(39.0, 20436.0)	(40.0, 64.0)	
