Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR1552444	(1.0, 84.1591146439104)	(2.0, 8.042741932723018)	(3.0, 2.9654424901649783)	(4.0, 1.6419723849978578)	(5.0, 0.8661836600704945)	(6.0, 0.6154521412078757)	(7.0, 0.3890870908727845)	(8.0, 0.2923652643021613)	(9.0, 0.20141815711198674)	('>10', 0.8262222346384364)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR1552445	(1.0, 86.46402306098932)	(2.0, 7.208651780523956)	(3.0, 2.63083720821903)	(4.0, 1.317836755756946)	(5.0, 0.7172051454118873)	(6.0, 0.461886583442093)	(7.0, 0.3263265794326969)	(8.0, 0.22285083323461785)	(9.0, 0.13187152979705288)	('>10', 0.518510523192382)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR1552446	(1.0, 75.52466471702057)	(2.0, 6.693845266302446)	(3.0, 3.014781561122886)	(4.0, 1.9785392686144117)	(5.0, 1.3507664264672763)	(6.0, 1.1667160416597762)	(7.0, 0.9268558581231845)	(8.0, 0.773664565536759)	(9.0, 0.6619871760568115)	('>10', 6.7287573286241)	('>50', 0.9352739676034384)	('>100', 0.24414782286836745)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR1552447	(1.0, 68.75005172649125)	(2.0, 7.22334203010731)	(3.0, 3.5133878692631875)	(4.0, 2.256833113667337)	(5.0, 1.8059457661838128)	(6.0, 1.4226206162651083)	(7.0, 1.2366250889590307)	(8.0, 0.9856849948343257)	(9.0, 0.808438588174075)	('>10', 9.759073513085472)	('>50', 1.5732117886944836)	('>100', 0.6647849042745888)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR1552448	(1.0, 48.214527118172)	(2.0, 5.559871662488545)	(3.0, 2.98526770626008)	(4.0, 2.16747406516706)	(5.0, 1.7173098872321806)	(6.0, 1.4773324832832229)	(7.0, 1.2876980178213988)	(8.0, 1.1810258645912852)	(9.0, 1.085315509945675)	('>10', 21.098174214977593)	('>50', 7.8910911696914265)	('>100', 5.3349123003695285)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR1552449	(1.0, 49.61884896088936)	(2.0, 5.538734777431788)	(3.0, 2.887205294815633)	(4.0, 2.09948051410525)	(5.0, 1.720785641532505)	(6.0, 1.5294700084502946)	(7.0, 1.234272708635572)	(8.0, 1.2158815399413434)	(9.0, 1.0489914538837564)	('>10', 20.598708883582425)	('>50', 7.333854844654554)	('>100', 5.1737653720775185)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR1552450	(1.0, 90.32832230972384)	(2.0, 5.781906197596247)	(3.0, 1.7909048396343767)	(4.0, 0.8218718113170707)	(5.0, 0.4127440584370244)	(6.0, 0.24875630891060763)	(7.0, 0.14976074197406575)	(8.0, 0.13445740315622084)	(9.0, 0.06852475428829033)	('>10', 0.26275157496229284)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR1552451	(1.0, 90.75801171131891)	(2.0, 5.449349586850034)	(3.0, 1.5940167855795557)	(4.0, 0.7626108700879345)	(5.0, 0.43551855434472203)	(6.0, 0.31297596493236146)	(7.0, 0.19592149666918307)	(8.0, 0.1390961712929331)	(9.0, 0.1020434548562399)	('>10', 0.23231418100328874)	('>50', 0.01814122306481798)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR1552452	(1.0, 85.52074390247415)	(2.0, 7.646940526275547)	(3.0, 2.6628862437650604)	(4.0, 1.2892737441665951)	(5.0, 0.772564485494451)	(6.0, 0.5331807528505806)	(7.0, 0.36461313648971727)	(8.0, 0.28416792937633084)	(9.0, 0.20458390907055019)	('>10', 0.7210453700370292)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR1552453	(1.0, 85.71423988194695)	(2.0, 7.220146836224709)	(3.0, 2.6430846004628474)	(4.0, 1.3298048938973284)	(5.0, 0.7793649958979366)	(6.0, 0.5997867301177082)	(7.0, 0.3603808424586648)	(8.0, 0.2540874896805136)	(9.0, 0.2392494172366874)	('>10', 0.8598543120766241)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR1552454	(1.0, 84.96918242669962)	(2.0, 7.5915373979008285)	(3.0, 2.739524090385211)	(4.0, 1.3767774305239533)	(5.0, 0.857064542260101)	(6.0, 0.547962955665102)	(7.0, 0.4089948608858131)	(8.0, 0.2478442847570715)	(9.0, 0.22002426174790252)	('>10', 1.0410877491743857)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR1552455	(1.0, 89.0253980194958)	(2.0, 6.073000555309769)	(3.0, 2.020753466446224)	(4.0, 0.9868752145813944)	(5.0, 0.559903049623638)	(6.0, 0.3718463838253838)	(7.0, 0.25958983414756637)	(8.0, 0.16533888719404408)	(9.0, 0.1277958883328825)	('>10', 0.4094987010433172)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
