Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43
SRR1552444	(16, 4.0)	(18, 5.0)	(20, 4.0)	(22, 7.0)	(24, 8.0)	(26, 7.0)	(28, 5.0)	(30, 4.0)	(32, 8.0)	(34, 10.0)	(36, 10.0)	(38, 13.0)	(40, 5.0)	(42, 6.0)	(44, 7.0)	(46, 10.0)	(48, 11.0)	(50, 5.0)	(52, 13.0)	(54, 13.0)	(56, 11.0)	(58, 14.0)	(60, 21.0)	(62, 18.0)	(64, 26.0)	(66, 31.0)	(68, 33.0)	(70, 55.0)	(72, 66.0)	(74, 82.0)	(76, 94.0)	(78, 116.0)	(80, 176.0)	(82, 225.0)	(84, 325.0)	(86, 421.0)	(88, 494.0)	(90, 688.0)	(92, 978.0)	(94, 1404.0)	(96, 0.0)	(98, 0.0)	(100, 290532.0)	
SRR1552445	(14, 1.0)	(16, 4.0)	(18, 4.0)	(20, 5.0)	(22, 5.0)	(24, 6.0)	(26, 2.0)	(28, 4.0)	(30, 5.0)	(32, 3.0)	(34, 4.0)	(36, 5.0)	(38, 4.0)	(40, 2.0)	(42, 6.0)	(44, 6.0)	(46, 0.0)	(48, 5.0)	(50, 6.0)	(52, 2.0)	(54, 2.0)	(56, 7.0)	(58, 11.0)	(60, 11.0)	(62, 13.0)	(64, 8.0)	(66, 11.0)	(68, 10.0)	(70, 24.0)	(72, 31.0)	(74, 27.0)	(76, 56.0)	(78, 54.0)	(80, 102.0)	(82, 113.0)	(84, 148.0)	(86, 193.0)	(88, 258.0)	(90, 368.0)	(92, 618.0)	(94, 1038.0)	(96, 0.0)	(98, 0.0)	(100, 291206.0)
SRR1552446	(100, 294469.0)																																											
SRR1552447	(100, 296011.0)																																											
SRR1552448	(100, 296512.0)																																											
SRR1552449	(100, 296514.0)																																											
SRR1552450	(100, 295393.0)																																											
SRR1552451	(14, 1.0)	(16, 3.0)	(18, 1.0)	(20, 2.0)	(22, 4.0)	(24, 1.0)	(26, 7.0)	(28, 5.0)	(30, 2.0)	(32, 9.0)	(34, 3.0)	(36, 5.0)	(38, 7.0)	(40, 3.0)	(42, 2.0)	(44, 3.0)	(46, 5.0)	(48, 5.0)	(50, 2.0)	(52, 4.0)	(54, 4.0)	(56, 5.0)	(58, 7.0)	(60, 15.0)	(62, 14.0)	(64, 8.0)	(66, 7.0)	(68, 16.0)	(70, 22.0)	(72, 35.0)	(74, 34.0)	(76, 35.0)	(78, 57.0)	(80, 77.0)	(82, 122.0)	(84, 145.0)	(86, 184.0)	(88, 237.0)	(90, 379.0)	(92, 635.0)	(94, 1040.0)	(96, 0.0)	(98, 0.0)	(100, 293078.0)
SRR1552452	(14, 1.0)	(16, 5.0)	(18, 5.0)	(20, 2.0)	(22, 1.0)	(24, 2.0)	(26, 2.0)	(28, 8.0)	(30, 4.0)	(32, 2.0)	(34, 3.0)	(36, 1.0)	(38, 6.0)	(40, 6.0)	(42, 6.0)	(44, 1.0)	(46, 7.0)	(48, 6.0)	(50, 10.0)	(52, 1.0)	(54, 7.0)	(56, 4.0)	(58, 8.0)	(60, 9.0)	(62, 3.0)	(64, 10.0)	(66, 7.0)	(68, 14.0)	(70, 22.0)	(72, 26.0)	(74, 25.0)	(76, 54.0)	(78, 51.0)	(80, 88.0)	(82, 119.0)	(84, 162.0)	(86, 185.0)	(88, 233.0)	(90, 400.0)	(92, 560.0)	(94, 1020.0)	(96, 0.0)	(98, 0.0)	(100, 292852.0)
SRR1552453	(14, 1.0)	(16, 4.0)	(18, 3.0)	(20, 1.0)	(22, 3.0)	(24, 4.0)	(26, 4.0)	(28, 2.0)	(30, 1.0)	(32, 4.0)	(34, 2.0)	(36, 7.0)	(38, 1.0)	(40, 5.0)	(42, 4.0)	(44, 3.0)	(46, 2.0)	(48, 4.0)	(50, 3.0)	(52, 3.0)	(54, 9.0)	(56, 7.0)	(58, 8.0)	(60, 10.0)	(62, 12.0)	(64, 11.0)	(66, 21.0)	(68, 18.0)	(70, 18.0)	(72, 27.0)	(74, 32.0)	(76, 38.0)	(78, 75.0)	(80, 73.0)	(82, 146.0)	(84, 174.0)	(86, 230.0)	(88, 258.0)	(90, 383.0)	(92, 665.0)	(94, 1047.0)	(96, 0.0)	(98, 0.0)	(100, 291498.0)
