Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving	fastp-pct_adapter	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR1552444	8.70833	94.1393	27.795579	0.295965	49.8517	98.655	1.8436666666666668	9.966337981311185	49.0	100.25182200598044	100	9.090909090909092	0.295965
SRR1552445	5.524	93.2341	27.411383999999998	0.294388	50.2676	98.12933333333334	1.0873333333333335	8.375059489533214	50.0	100.36422680272294	100	9.090909090909092	0.294388
SRR1552446	16.7183	92.1768	27.143223	0.294469	49.1247	98.15633333333334		18.4506808043936	49.0	100.0	100	9.090909090909092	0.294469
SRR1552447	21.1903	94.2418	27.896614	0.29601099999999997	48.9823	98.67033333333333		24.33821128888202	48.0	100.0	100	9.090909090909092	0.29601099999999997
SRR1552448	38.3943	92.7891	27.513088999999997	0.296512	48.2547	98.83733333333333		45.24927509794555	48.0	100.0	100	9.090909090909092	0.296512
SRR1552449	40.2393	93.01549999999999	27.580410999999998	0.296514	47.9966	98.83800000000001		43.943414836431174	47.0	100.0	100	9.090909090909092	0.296514
SRR1552450	5.06333	91.5764	27.051015	0.29539299999999996	49.830799999999996	98.46433333333333		5.790056631762113	49.0	100.0	100	9.090909090909092	0.29539299999999996
SRR1552451	5.651330000000001	93.9884	27.807281	0.29623	50.021300000000004	98.74333333333334	1.0693333333333332	5.580725166304774	50.0	100.36865611180501	100	9.090909090909092	0.29623
SRR1552452	7.904	93.79260000000001	27.722479999999997	0.295938	50.1696	98.646	1.0606666666666666	9.036389490537914	50.0	100.37033770587082	100	9.090909090909092	0.295938
SRR1552453	7.96067	93.9082	27.649459	0.294821	50.3861	98.27366666666667	1.1360000000000001	9.034216463476028	50.0	100.36116999806663	100	9.090909090909092	0.294821
SRR1552454	8.36867	93.1756	27.554724	0.296134	50.02720000000001	98.71133333333333	1.2093333333333334	9.523619465349725	50.0	100.35637582986081	100	9.090909090909092	0.296134
SRR1552455	6.007	91.17779999999999	26.80658	0.29442599999999997	50.07509999999999	98.142	1.1566666666666665	6.740116211380396	50.0	100.35002003899112	100	9.090909090909092	0.29442599999999997
